	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.0293012	0.0156136	0.0113009	0.00892965	0.00769653	0.0068198	0.00605746	0.00568181	0.00505747	0.00490791	0.00465783	0.00448453	0.00439734	0.0039545	0.00383413	0.00419146	0.00396363	0.00375679	0.0037623	0.00378429	0.00355813	0.00361865	0.00330233	0.00318505	0.00308482	0.00306195	0.00325638	0.00313447	0.00288186	0.00294292	0.0028972	0.00283859	0.00293116	0.00277406	0.00257649	0.00258299	0.00277121	0.00269245	0.00271129	0.00247344	0.00280433	0.00242048	0.00240869	0.00267239	0.00255542	0.00240581	0.0023478	0.00249566	0.00234463	0.00223573	0.00240263	0.00206513	0.00233584	0.00217194	0.00217012	0.00204149	0.0021453	0.00229662	0.00218626	0.0020428	0.00213004	0.00199099	0.00196026	0.00208334	0.00188629	0.00204331	0.00180106	0.001896	0.00201327	0.00201574	0.0018562	0.0019003	0.0019786	0.00182707	0.00166806	0.00185719	0.00172545	0.00175448	0.00164449	0.00173944	0.00166324	0.0436864
d3_1	0.0892033	4.42475e-06	9.54458e-06	4.72089e-06	8.74272e-06	2.21882e-05	5.33812e-06	2.90554e-05	1.19427e-05	1.53074e-05	3.13776e-06	3.64762e-05	4.55392e-05	6.96269e-06	7.61127e-06	2.78384e-05	1.73092e-06	5.29126e-06	2.81264e-05	1.57578e-05	3.65886e-06	1.51928e-05	6.79967e-06	8.05401e-06	1.64133e-05	2.26611e-06	7.59758e-06	1.20853e-05	1.06879e-05	1.10357e-05	1.55969e-05	3.41467e-06	2.9606e-05	1.73851e-05	1.57661e-05	2.2344e-05	2.85562e-05	1.69695e-05	2.1767e-06	9.33488e-06	4.07302e-06	1.83816e-05	7.45439e-06	1.11897e-05	1.38029e-06	1.53494e-05	1.16932e-05	8.09458e-06	2.29407e-05	1.17094e-05	2.06979e-05	2.04511e-06	1.23508e-05	8.58147e-06	2.48759e-05	1.01837e-05	1.357e-05	2.45443e-05	1.46851e-05	2.07929e-06	4.98344e-06	2.06072e-05	2.10443e-05	6.95091e-06	6.12197e-06	2.16974e-05	9.90372e-08	4.67062e-06	4.82243e-06	1.53873e-05	8.84463e-06	6.45286e-06	2.21169e-05	2.16332e-05	4.39398e-06	9.99466e-06	1.27831e-05	1.13997e-05	2.05909e-06	1.3548e-05	1.98027e-06	1.67293e-05	0.000341054
d3_2	0.0392169	1.23435e-05	6.12412e-06	1.23372e-05	1.42364e-06	1.38406e-05	2.32653e-05	8.86323e-06	1.46949e-05	1.69324e-05	1.53101e-05	2.10463e-05	2.02227e-05	5.88269e-06	1.4412e-06	5.38259e-06	2.11828e-05	2.04195e-05	5.8693e-06	1.98395e-05	7.53511e-06	1.04021e-05	1.26915e-05	1.21384e-07	9.95728e-06	1.37644e-05	1.64584e-05	1.16866e-05	1.63836e-05	1.18837e-05	1.05681e-05	5.19426e-06	3.28954e-06	1.78222e-05	1.29042e-05	7.87272e-06	3.0837e-05	1.2689e-05	4.92505e-06	1.8432e-05	1.26324e-05	5.1971e-06	2.40483e-06	3.99066e-06	1.4417e-05	7.51216e-06	1.31611e-05	4.95652e-06	9.999e-06	7.10819e-06	1.23091e-05	7.24229e-06	1.53505e-05	3.77421e-06	8.29194e-06	7.78705e-06	1.12149e-05	1.62773e-05	1.745e-05	1.99589e-05	6.14931e-06	1.06446e-05	8.46965e-07	3.99453e-06	1.38888e-05	2.69457e-05	2.47903e-05	2.02775e-05	1.59312e-05	1.12843e-05	2.98203e-06	1.02748e-05	6.65149e-06	3.56536e-05	2.8309e-05	2.11063e-05	6.07256e-06	1.10385e-05	7.6984e-06	6.10587e-07	2.10988e-05	1.38689e-05	0.000396781
d3_3	0.0228406	1.28451e-05	3.03155e-06	1.364e-05	5.3066e-06	1.44719e-05	1.06485e-05	3.7158e-06	8.01354e-06	1.97393e-05	9.81809e-06	3.31159e-06	1.53717e-05	1.3655e-05	1.04118e-05	1.23946e-05	1.0725e-05	2.70273e-05	1.40991e-05	1.70732e-05	1.65681e-05	1.78564e-05	8.41212e-06	2.43281e-05	4.10902e-06	1.05149e-05	1.23468e-05	2.63155e-05	6.66506e-06	3.36341e-06	2.35753e-06	2.58834e-05	1.31672e-05	1.0483e-05	1.08914e-05	2.21002e-05	1.20941e-05	5.73497e-08	8.38256e-06	8.84933e-06	2.37711e-05	4.50589e-06	7.96323e-06	3.12306e-05	4.08888e-06	4.38719e-06	2.42695e-05	1.81645e-06	1.9303e-05	1.40765e-05	1.66332e-05	1.08141e-05	6.2574e-06	1.50805e-05	7.56105e-06	9.78077e-06	8.85604e-06	6.36922e-06	3.09413e-07	9.30955e-06	3.10173e-06	1.35206e-05	1.42029e-05	1.23258e-05	5.29397e-06	6.24697e-06	1.21619e-05	1.32631e-05	1.7081e-05	7.45599e-06	9.02552e-06	1.1676e-05	2.69844e-05	1.57336e-06	4.93585e-06	8.2561e-06	2.86464e-06	6.38118e-06	1.23628e-05	1.95279e-05	9.3529e-06	1.2296e-05	0.000427598
d3_4	0.0150929	2.60963e-05	7.52202e-06	5.74651e-06	6.67836e-06	9.17934e-06	7.11386e-06	1.07375e-05	1.28851e-05	9.27949e-06	8.03755e-06	1.83591e-05	1.88931e-05	6.41375e-06	3.23902e-05	1.25643e-05	1.48969e-05	3.50217e-06	9.54189e-06	1.62611e-05	1.07079e-05	5.11507e-06	1.11223e-05	1.99208e-05	5.86504e-06	2.19905e-05	3.57607e-06	9.05678e-06	7.6386e-06	1.51932e-05	1.33435e-05	1.74605e-05	1.25434e-05	4.87564e-06	4.95387e-06	1.86127e-05	1.50714e-05	3.26481e-06	2.25355e-05	2.32736e-05	1.26214e-05	1.84731e-05	5.39461e-06	1.76691e-05	1.49078e-05	4.62456e-06	1.02955e-05	1.38981e-05	2.70649e-06	9.98031e-06	5.42981e-06	1.26401e-05	1.83006e-05	1.53404e-06	2.04031e-05	1.9686e-05	6.0864e-06	2.41995e-05	3.35901e-06	4.49914e-06	2.94521e-05	1.07377e-05	2.71111e-06	2.00743e-05	9.64774e-06	7.54112e-06	3.5351e-05	1.50874e-05	8.36519e-06	1.13483e-06	3.82601e-06	1.07204e-05	1.00514e-05	5.64897e-06	3.27966e-06	3.02169e-06	8.37163e-06	9.07148e-06	1.20147e-05	3.9345e-06	2.20221e-05	1.10526e-05	0.00034232
d3_5	0.0106826	1.49958e-06	1.03292e-05	6.99789e-07	2.05277e-05	6.46069e-06	1.37952e-05	4.67023e-06	1.52859e-05	3.17879e-05	9.65108e-06	2.321e-05	1.39861e-05	1.24529e-05	8.45006e-06	2.31189e-05	1.53682e-05	1.03994e-05	1.61372e-05	2.68672e-05	1.57201e-05	1.04237e-05	3.19469e-06	1.44814e-05	2.62077e-05	1.03403e-05	1.03108e-05	1.21455e-05	1.6091e-05	2.30933e-05	1.33611e-05	1.22312e-05	1.10884e-05	9.9768e-06	1.8775e-05	7.24445e-06	1.24551e-06	2.18456e-05	1.70831e-05	5.15822e-06	9.19101e-06	8.12847e-06	7.68654e-06	3.09618e-05	1.7534e-05	1.19475e-06	2.84365e-05	4.44023e-06	1.44634e-06	2.9325e-06	1.08891e-05	1.04796e-05	1.09464e-05	2.53605e-06	1.87467e-05	1.77748e-05	3.43439e-06	8.34938e-06	8.28741e-06	1.42809e-05	9.93562e-06	1.43628e-07	3.08288e-05	1.02467e-05	5.44842e-06	4.88203e-06	9.27089e-06	2.16884e-05	2.13145e-05	2.9864e-06	1.05909e-05	1.27973e-05	2.44073e-05	1.31964e-05	3.65633e-05	7.00293e-06	1.29373e-05	1.8788e-05	1.18438e-05	1.12653e-05	4.99956e-06	5.87454e-06	0.000325935
d3_6	0.00775825	1.04991e-05	2.42397e-05	2.33601e-06	2.89007e-06	1.05218e-05	4.2034e-06	9.13947e-06	2.04083e-05	9.88039e-06	1.04782e-05	1.71836e-05	6.30476e-06	9.9835e-06	5.85082e-06	1.9276e-05	5.28479e-06	1.41001e-05	3.68913e-05	4.56166e-06	1.06592e-05	7.03814e-06	1.64606e-05	9.565e-06	2.4643e-05	1.53318e-05	1.51038e-05	3.84685e-06	2.92114e-05	1.02177e-05	1.81157e-05	4.90398e-06	8.02011e-06	3.67198e-06	1.21993e-05	7.27322e-06	1.7628e-05	1.53731e-05	2.81499e-06	9.85784e-06	2.14673e-06	8.6501e-06	2.1074e-05	1.06168e-05	8.44485e-06	1.99493e-05	7.15421e-07	1.04732e-05	1.31425e-05	6.05505e-06	1.61892e-05	6.02117e-06	1.67525e-05	6.76277e-06	4.28151e-06	1.70461e-08	1.55725e-05	1.21725e-05	1.20806e-05	8.02318e-06	3.99034e-06	7.48745e-06	9.46458e-06	9.77596e-06	1.17164e-05	8.60017e-06	2.73726e-05	1.59574e-05	1.82873e-07	1.90231e-06	2.02453e-05	5.75124e-06	1.88856e-05	6.55641e-07	5.39831e-06	4.24072e-06	1.86758e-06	3.87386e-06	3.51866e-06	8.38123e-06	1.6248e-05	9.62399e-06	0.000386581
d3_7	0.00593308	2.38809e-06	1.98518e-05	6.7587e-06	1.458e-05	1.06059e-05	1.24486e-05	3.01623e-06	1.48169e-05	5.40386e-06	8.08793e-06	1.65269e-05	5.81311e-06	6.27507e-06	4.04499e-05	1.1386e-05	9.65716e-06	9.6607e-06	1.91639e-05	2.44041e-05	7.97486e-06	1.61284e-05	1.07727e-05	1.17787e-05	1.09846e-05	1.13387e-05	9.16783e-06	3.42948e-05	8.6227e-06	7.03432e-06	9.02539e-06	1.52422e-05	1.60614e-05	2.92658e-06	6.9882e-06	2.02837e-05	4.26077e-06	2.17135e-05	2.78515e-06	3.01711e-05	1.01112e-05	6.00691e-06	6.9198e-06	2.60775e-06	4.57049e-08	7.35725e-06	2.30608e-05	7.69709e-06	8.28233e-06	4.97194e-06	6.2199e-06	3.14629e-05	5.74581e-06	3.57602e-05	4.83998e-06	1.46638e-06	2.2113e-05	6.83893e-06	1.99795e-05	1.81279e-05	1.08945e-05	9.60532e-06	2.08871e-05	2.24786e-05	6.63872e-06	4.1423e-06	1.39235e-05	4.29555e-06	2.11727e-05	7.93187e-06	9.28263e-06	5.59717e-06	2.82036e-06	4.21972e-06	2.13633e-06	1.57128e-05	4.82056e-06	1.99106e-05	2.91678e-06	3.26557e-05	7.89116e-06	1.35081e-05	0.000342071
d3_8	0.0045255	5.33299e-06	3.61648e-05	7.21618e-06	1.67423e-05	1.60403e-05	1.76033e-06	6.79933e-06	1.34567e-05	4.65475e-07	1.07367e-05	2.27259e-05	1.8132e-06	6.88366e-06	2.73661e-06	1.55724e-05	1.56462e-05	1.30488e-05	8.84163e-07	4.48466e-06	8.92114e-06	3.94853e-06	9.57595e-06	4.22027e-06	1.46567e-05	5.65588e-06	5.47447e-06	2.14147e-05	1.04943e-05	3.67545e-05	1.57277e-05	7.85938e-06	8.7817e-06	2.43784e-05	5.85903e-06	1.68784e-05	1.23356e-05	1.5574e-05	3.44708e-06	2.15629e-06	2.35718e-05	8.56767e-06	1.98256e-05	4.16142e-06	1.99147e-05	1.20845e-05	1.5744e-05	1.56376e-05	1.13688e-05	3.70788e-06	2.67258e-05	9.87896e-06	2.22701e-05	2.66276e-05	1.98894e-05	2.47349e-06	1.26527e-05	2.24295e-05	1.02958e-06	2.4954e-05	1.13933e-05	5.69506e-06	1.56935e-06	3.71968e-06	1.46452e-05	5.34366e-06	1.8911e-05	2.03694e-05	1.17382e-05	1.36811e-05	1.77098e-05	1.67615e-05	8.86344e-06	7.97928e-06	2.74458e-08	3.96525e-07	5.51152e-06	1.41221e-05	6.0861e-06	1.37555e-05	1.43965e-05	4.46977e-06	0.000378355
d3_9	0.00360885	3.85856e-06	1.62676e-05	6.41973e-08	2.60476e-05	7.75997e-06	3.48392e-06	8.20304e-06	1.13615e-05	7.02959e-06	3.44369e-05	4.75024e-06	2.76807e-05	1.54158e-06	2.60988e-05	6.14689e-06	9.0865e-06	9.6811e-06	6.70033e-06	3.6798e-06	4.82435e-06	1.50992e-05	5.1235e-06	1.65885e-05	1.61403e-05	1.6273e-05	1.55876e-05	5.63345e-06	1.61445e-05	1.18496e-05	1.91822e-06	9.62027e-06	1.3065e-05	7.55557e-06	3.53827e-06	2.14825e-05	2.08262e-05	1.80876e-06	1.53066e-05	4.22862e-06	6.66721e-06	1.20263e-05	1.17163e-05	1.66635e-05	1.59849e-05	1.05007e-05	3.48008e-06	3.62334e-06	1.30418e-05	4.3299e-06	4.97396e-06	5.19758e-06	8.68978e-06	7.91191e-06	1.21837e-05	6.75106e-06	1.93235e-06	2.08529e-05	4.94732e-06	1.12648e-05	2.75094e-08	6.72107e-06	5.81194e-08	9.33954e-06	8.52919e-06	1.08078e-05	2.65754e-07	1.7111e-06	9.74532e-06	3.04038e-06	1.181e-05	4.51686e-06	1.31976e-05	1.20862e-05	1.00915e-05	1.38085e-05	5.2535e-06	1.1591e-05	6.88993e-06	5.37947e-06	4.75782e-06	5.37445e-06	0.000315102
d3_10	0.00285595	9.47418e-06	8.11347e-06	4.57885e-06	2.10757e-06	5.16342e-06	6.89812e-06	2.5819e-06	1.19417e-05	1.44418e-05	7.02717e-06	1.47322e-05	4.79001e-06	1.34583e-06	8.70615e-06	1.04431e-05	1.4393e-05	2.46148e-06	1.23377e-05	5.20505e-06	1.1335e-05	1.39895e-05	5.74187e-06	1.1714e-05	5.173e-05	1.6579e-05	2.39682e-05	4.11203e-07	2.62632e-06	3.3213e-06	1.12194e-05	6.93212e-06	6.50645e-06	1.8947e-05	8.97935e-06	1.07725e-05	1.23194e-07	4.27897e-06	1.80886e-05	3.5139e-06	2.0369e-05	5.13465e-06	1.00445e-05	3.20656e-05	9.98386e-06	1.70823e-05	1.70439e-05	8.08942e-06	2.6002e-05	1.2029e-05	1.25594e-05	1.12303e-05	1.24576e-05	1.20496e-05	3.84804e-06	1.65024e-06	9.16636e-06	7.13188e-06	2.50022e-06	1.39077e-05	8.53855e-06	8.65891e-06	2.05333e-05	4.9784e-06	3.29492e-05	1.42721e-05	2.13957e-05	1.41485e-05	5.90461e-06	2.35421e-05	3.11006e-05	1.03248e-05	5.63456e-06	1.923e-05	9.52004e-06	1.96271e-05	1.92195e-05	1.5097e-06	1.6476e-05	9.51374e-06	2.80901e-05	4.43918e-06	0.000387519
d3_11	0.00241361	7.69983e-06	1.66301e-05	6.62957e-06	4.91627e-06	2.26621e-05	7.10216e-06	2.56828e-05	1.78199e-05	7.74569e-06	1.47069e-05	2.51956e-06	5.32426e-06	2.14359e-06	4.03313e-08	1.08756e-06	2.64879e-05	1.55612e-05	1.40324e-05	1.24387e-06	3.70434e-06	5.98523e-06	2.28428e-05	1.2838e-05	2.04655e-05	6.14296e-06	2.21663e-05	1.22581e-05	1.04881e-05	7.43947e-07	8.34267e-06	1.68271e-05	5.91806e-06	2.83671e-05	4.69324e-07	4.47366e-06	2.83487e-05	1.70332e-05	2.00189e-05	1.22077e-05	3.76484e-06	5.80304e-06	2.74984e-06	1.4764e-05	2.65055e-06	1.83456e-05	2.5044e-05	2.44912e-05	9.71839e-07	1.00502e-05	1.00336e-05	2.8463e-05	1.40665e-05	2.38071e-05	1.0582e-06	5.552e-06	9.69514e-06	1.4611e-05	7.04738e-06	5.63633e-06	7.09621e-06	1.75817e-05	1.18921e-05	2.29767e-06	1.70846e-05	1.80607e-06	1.03109e-05	6.44008e-07	2.74483e-06	6.28859e-06	4.24297e-06	6.49039e-06	1.51251e-08	7.01125e-06	8.40685e-06	1.35386e-05	1.58516e-05	1.15708e-05	2.57605e-06	1.91299e-06	1.97296e-06	6.44763e-06	0.000331828
d3_12	0.00199436	7.55133e-06	1.07184e-05	2.7131e-05	1.14428e-05	2.19552e-05	9.28531e-06	1.64548e-05	5.38431e-08	7.75577e-06	1.60751e-05	1.58443e-05	6.55664e-06	5.14846e-06	1.63374e-05	2.73968e-06	1.27999e-05	1.69964e-05	1.6577e-05	1.04303e-05	1.80852e-05	9.5485e-06	4.14591e-06	8.09105e-06	1.18534e-05	2.315e-05	2.21111e-05	9.47044e-06	2.09755e-05	1.0174e-05	1.45756e-05	1.3635e-05	9.96659e-06	3.71138e-06	1.34858e-05	1.76435e-05	1.61431e-05	1.05729e-05	2.75314e-06	4.96635e-06	3.51537e-06	1.08648e-05	2.76277e-05	1.24116e-05	1.58298e-05	1.11085e-05	2.31345e-05	2.26586e-05	1.70013e-06	1.07004e-05	2.521e-05	6.87888e-06	5.69994e-06	1.44496e-05	9.09567e-06	4.14125e-06	1.12853e-05	5.74416e-06	1.9307e-05	1.61122e-05	2.07684e-05	1.60191e-05	5.72576e-06	1.39209e-05	1.72628e-05	3.29242e-06	1.01805e-05	6.92962e-06	7.23625e-07	4.06353e-06	1.09644e-06	8.30165e-06	3.50246e-06	2.49123e-05	1.28522e-06	5.04832e-06	1.73287e-05	5.47359e-06	1.32921e-05	1.74227e-05	6.27085e-06	9.23291e-06	0.000462681
d3_13	0.00163006	1.7527e-06	1.79558e-05	5.11268e-05	4.22712e-06	8.2758e-06	5.5789e-06	9.20396e-06	2.25188e-05	3.74551e-05	6.70363e-06	1.55014e-05	4.45721e-06	1.09948e-05	1.30547e-05	2.398e-05	7.01966e-07	2.14577e-05	2.37784e-05	1.20401e-05	4.72588e-06	1.28256e-05	1.8387e-05	1.37251e-05	4.78179e-06	1.39677e-05	1.15493e-05	5.60731e-06	1.39296e-05	9.97416e-07	1.15025e-05	8.55296e-06	2.15186e-06	1.31606e-05	1.12364e-05	4.17023e-06	1.37296e-05	3.51439e-06	4.04818e-05	1.64867e-05	4.80131e-06	2.45478e-06	1.5334e-05	3.03546e-05	4.60582e-06	1.74457e-05	1.76232e-05	4.3642e-06	1.50569e-05	7.76882e-06	1.38809e-06	1.14124e-05	1.45268e-05	1.89911e-05	6.79251e-07	3.25169e-06	1.5707e-05	3.17013e-06	2.4448e-05	5.89019e-06	4.50945e-06	3.27156e-06	1.3195e-05	6.56914e-06	1.06652e-05	5.69999e-06	1.06378e-05	1.52644e-06	9.44789e-06	8.01825e-06	2.48365e-05	2.95684e-06	2.00825e-05	2.77014e-06	1.48617e-05	1.73862e-06	1.14061e-05	2.52454e-06	4.00202e-07	6.03018e-06	1.12009e-05	2.26625e-05	0.000288815
d3_14	0.00155663	1.36013e-05	1.23412e-05	8.39797e-06	1.18968e-05	1.03023e-05	1.64979e-05	1.1229e-05	7.81015e-06	4.48135e-06	1.40411e-05	6.94163e-06	4.70844e-06	3.27727e-05	1.00637e-05	1.67749e-05	1.30486e-05	6.16578e-06	2.33241e-06	1.82048e-07	7.76714e-06	7.30836e-06	1.69914e-05	2.52921e-05	1.4843e-05	7.69756e-06	2.90794e-05	9.64926e-06	2.52391e-06	1.96621e-05	8.47567e-06	2.45374e-07	2.6135e-05	2.35705e-05	2.84165e-05	2.05032e-05	3.61279e-05	1.11673e-05	6.23876e-06	3.58705e-06	7.44387e-06	5.89059e-06	3.15352e-05	9.98931e-06	2.53296e-05	1.78927e-06	1.79345e-05	9.94511e-06	2.10271e-06	1.6395e-05	4.13136e-06	8.07873e-06	3.81838e-06	3.53358e-06	1.53215e-05	8.08028e-06	5.71105e-08	2.56213e-07	2.5411e-08	6.73462e-06	2.4114e-05	9.75541e-06	8.38125e-06	1.66851e-05	1.8909e-05	1.20242e-05	2.13156e-05	6.74727e-06	1.00752e-05	1.58574e-05	5.32814e-06	2.3367e-06	2.31504e-06	6.06559e-06	1.56271e-05	7.58855e-06	8.64309e-06	1.23764e-05	9.53417e-07	4.30171e-06	1.48098e-05	6.06517e-06	0.000370938
d3_15	0.00123062	5.23544e-06	3.49754e-06	1.98504e-05	1.2145e-05	1.97349e-05	2.72245e-05	2.1865e-05	1.32303e-05	1.17903e-05	1.03588e-05	2.41975e-05	9.47952e-06	1.49064e-06	4.28248e-06	8.60391e-06	1.73443e-05	1.08586e-05	8.92378e-06	5.19973e-06	4.12976e-06	1.44823e-05	3.95437e-05	8.07761e-06	5.18684e-06	1.09751e-05	8.55981e-06	1.69148e-05	7.9224e-06	1.80874e-05	4.58856e-06	4.46231e-06	1.63488e-06	5.88282e-06	1.21099e-05	4.93678e-06	4.13146e-06	1.98364e-05	7.12915e-06	1.43734e-05	1.34228e-05	1.90317e-05	1.60687e-05	1.78767e-05	2.72109e-05	2.53156e-06	3.80261e-05	1.56502e-05	7.18525e-06	2.52358e-05	2.0494e-05	5.13496e-06	1.48957e-05	1.26255e-05	3.0502e-06	1.39532e-05	6.4723e-06	1.65306e-05	1.75678e-05	2.22832e-05	1.32973e-05	1.52213e-05	5.28723e-08	1.60507e-05	6.09353e-06	1.7094e-05	5.31203e-06	1.18822e-05	1.51253e-06	3.32844e-05	5.00756e-06	2.83218e-08	2.67244e-05	1.03112e-05	3.43057e-05	3.57063e-06	3.7989e-06	1.64479e-05	4.04601e-06	2.1686e-06	1.83459e-05	5.09759e-06	0.000390109
d3_16	0.00118873	9.24949e-06	2.76361e-05	4.65303e-05	9.85788e-06	9.91093e-06	1.34502e-05	1.39732e-05	1.09608e-05	5.58505e-07	3.78984e-06	3.03429e-06	1.08134e-05	1.98165e-05	6.81425e-06	1.07835e-05	7.10964e-05	6.42349e-06	1.43888e-05	1.64679e-05	1.79462e-05	1.57478e-05	4.13602e-06	1.20594e-05	1.43953e-06	6.41237e-06	5.19526e-06	6.53416e-06	2.80483e-05	6.79286e-06	7.63904e-06	1.18625e-05	4.33914e-06	1.59313e-05	2.11347e-06	5.16608e-06	6.3912e-06	1.02783e-05	2.09289e-05	1.21786e-05	2.30957e-05	8.52497e-06	4.71568e-06	1.44298e-05	3.78959e-06	9.27291e-06	5.00477e-06	2.28567e-05	5.94431e-06	1.75897e-05	1.84623e-05	3.04561e-05	1.45279e-05	1.20381e-05	5.54626e-06	6.64168e-06	4.36941e-06	9.64052e-06	7.15136e-06	8.34183e-06	9.73101e-06	8.26258e-06	1.67627e-05	4.45545e-06	1.43143e-06	1.05662e-05	8.56935e-06	2.50954e-05	1.23893e-05	4.37658e-06	5.01455e-06	3.73399e-06	1.60305e-05	2.3003e-05	1.27944e-05	4.4134e-07	1.03393e-05	6.33151e-06	1.02647e-05	2.44735e-06	1.91e-05	2.54707e-06	0.000354344
d3_17	0.00101276	1.19066e-05	9.22958e-06	3.10839e-06	1.33037e-05	1.00069e-05	8.71983e-06	2.65878e-05	2.35607e-05	9.30007e-06	1.01016e-05	1.27127e-06	2.24625e-05	1.28993e-05	9.89929e-06	3.27472e-05	1.02056e-05	7.65915e-06	1.40474e-05	1.89129e-05	2.85472e-05	4.0322e-05	9.81641e-06	0	8.21604e-06	3.51193e-05	1.05861e-05	2.60055e-05	1.82991e-05	1.4063e-05	1.0851e-05	1.86936e-05	2.00956e-05	9.60081e-06	7.78145e-06	1.34262e-05	1.3076e-05	9.18466e-06	1.73824e-05	1.12406e-06	1.36543e-05	6.05031e-06	6.20757e-06	1.05442e-05	6.48866e-06	4.7178e-06	9.46131e-06	2.88352e-05	1.7335e-05	8.88172e-06	1.2012e-06	1.03989e-05	4.83707e-06	4.31651e-06	8.02207e-06	4.44243e-06	8.61044e-06	8.34723e-06	6.78313e-06	3.29416e-05	4.52994e-06	6.44328e-06	5.35645e-06	5.26105e-06	5.59616e-06	5.45964e-06	7.33161e-06	2.24053e-05	6.48e-06	2.93321e-08	7.62952e-06	2.03106e-05	8.41523e-06	2.99278e-06	3.83041e-06	1.52929e-05	1.36078e-06	7.74898e-06	1.46653e-05	1.81209e-06	2.19563e-05	1.58434e-05	0.000348569
d3_18	0.000917654	9.80647e-06	1.56882e-05	4.47056e-06	1.10635e-05	3.35298e-05	1.75304e-05	3.17588e-06	1.30468e-05	2.32123e-05	5.21608e-06	1.19649e-05	8.74181e-06	6.32892e-06	1.777e-05	9.73403e-06	1.20332e-06	1.55743e-05	1.08305e-05	4.90006e-07	3.03248e-06	1.96135e-05	2.39211e-05	8.02532e-06	1.6636e-05	3.52007e-06	4.21034e-06	2.03029e-05	1.04547e-05	1.51645e-05	1.02737e-05	4.22989e-06	5.71021e-06	2.87411e-05	2.352e-05	1.01587e-05	1.25995e-05	2.15284e-05	1.47236e-05	1.54609e-05	3.73219e-06	2.1792e-06	7.32588e-06	8.84345e-06	4.60728e-06	7.94388e-06	4.74214e-06	5.22189e-06	1.39942e-05	2.18892e-05	1.09635e-05	2.93465e-05	3.89674e-08	4.72995e-06	8.76369e-06	5.85447e-06	5.83411e-06	7.50493e-06	3.88694e-07	1.81433e-05	5.83691e-06	3.27881e-06	1.40732e-05	3.01406e-05	8.09892e-06	1.00545e-05	1.43528e-05	1.53075e-05	2.01121e-05	1.16712e-05	1.30135e-06	1.81467e-05	8.35377e-06	1.36404e-05	1.22678e-05	1.48924e-05	1.35286e-05	4.23722e-06	2.24837e-08	1.84682e-05	1.56644e-06	1.97747e-05	0.000335884
d3_19	0.000865221	5.4705e-06	5.41068e-06	1.31686e-05	9.08865e-06	1.81778e-05	3.73329e-08	4.32353e-06	1.03363e-05	9.74448e-06	1.06067e-05	5.75779e-06	6.17036e-06	9.49336e-06	1.77459e-05	7.37864e-06	5.11517e-06	7.61765e-06	9.5357e-06	4.06917e-06	3.04097e-06	2.04992e-05	4.98572e-06	2.00006e-05	1.98829e-05	9.9665e-06	1.6349e-05	4.3904e-06	5.95265e-06	2.23904e-05	7.42182e-06	3.2234e-06	3.6167e-05	1.06448e-05	9.2586e-06	6.74872e-06	7.84399e-06	8.81269e-06	1.55687e-06	7.36783e-06	1.24374e-05	8.42784e-06	3.11618e-06	1.79966e-05	9.45639e-06	2.099e-05	2.60082e-05	8.54435e-06	4.21034e-06	1.63513e-05	8.89122e-06	1.78981e-05	1.64556e-05	3.52684e-06	3.92609e-05	3.6656e-06	1.42745e-05	4.16979e-06	5.20464e-06	4.46642e-05	9.46285e-06	1.05912e-05	7.14579e-07	1.6149e-05	2.55468e-05	1.53237e-05	1.31322e-05	2.91323e-05	4.43246e-06	7.52605e-06	8.74962e-06	2.59888e-05	1.29829e-05	4.69988e-06	6.24318e-06	1.03336e-05	1.72225e-05	7.30083e-06	1.34348e-05	5.85674e-06	1.23817e-05	3.20964e-05	0.00033401
