	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.14409	0.0694526	0.0438688	0.031435	0.0243084	0.0192961	0.0152685	0.0123637	0.0105404	0.00878126	0.00737284	0.00640211	0.00552802	0.00468377	0.00408354	0.00337667	0.00323072	0.00273243	0.00255565	0.00202154	0.00179361	0.00144155	0.00130324	0.00115676	0.00104136	0.00084663	0.000805236	0.000628773	0.000546004	0.000463381	0.000464984	0.000344804	0.000324664	0.000249348	0.00022741	0.000221189	0.000162463	0.000175057	0.00014579	0.000107777	0.000118701	0.000130218	8.08461e-05	9.1007e-05	8.19117e-05	7.42652e-05	4.11541e-05	7.41364e-05	5.67939e-05	5.81137e-05	5.58978e-05	5.57715e-05	2.11224e-05	2.79659e-05	1.54516e-05	2.83611e-05	1.37804e-05	1.41676e-05	1.48631e-05	1.91546e-05	1.39795e-05	6.65905e-06	8.10361e-06	5.66367e-06	1.64368e-05	9.75594e-06	1.62821e-06	1.22201e-05	3.18121e-06	6.42449e-06	1.50945e-06	1.80444e-06	1.03231e-06	6.20033e-06	2.93422e-06	4.42951e-06	4.29066e-06	3.73754e-06	2.15308e-07	1.80192e-07	2.8805e-06	4.97685e-06	3.2302e-07	5.8087e-08	9.58987e-10	1.06675e-07	1.40744e-07	9.83325e-09	1.95974e-08	1.13298e-08	2.01107e-06	1.80481e-08	1.06177e-09	0	0	0	0	1.21944e-06
d3_1	0.0601948	7.6776e-05	4.85996e-05	5.20383e-05	7.71568e-05	4.35347e-05	4.96011e-05	4.74047e-05	5.59579e-05	4.41667e-05	5.14426e-05	3.60032e-05	3.85755e-05	4.95168e-05	4.62646e-05	8.32249e-05	2.47254e-05	3.76504e-05	5.02089e-05	3.83125e-05	1.69642e-05	8.00935e-05	6.41553e-05	3.81847e-05	2.34553e-05	3.17419e-05	4.15001e-05	2.78243e-05	1.9367e-05	1.91342e-05	5.48031e-05	3.26099e-05	2.54666e-05	2.20678e-05	4.15487e-05	2.92931e-05	1.81021e-05	2.01414e-05	1.8635e-05	4.93807e-06	7.50654e-06	1.97105e-05	1.72508e-05	9.56247e-06	1.02909e-05	1.41386e-05	7.09146e-06	8.26502e-06	1.38109e-05	1.01762e-05	1.44909e-05	5.33689e-06	1.01419e-06	3.62493e-06	6.04414e-06	5.1388e-06	5.02378e-06	5.4609e-06	8.26112e-06	6.19043e-06	2.95184e-06	4.94435e-06	7.4355e-07	2.62066e-07	1.51266e-06	5.18908e-07	8.37873e-06	1.26758e-06	6.14159e-07	2.07703e-06	3.76242e-06	8.94594e-07	7.96437e-06	8.6717e-07	3.34974e-07	2.95116e-06	7.6169e-08	2.4825e-06	4.97372e-06	8.45486e-08	1.54479e-07	7.49472e-07	2.8389e-07	1.33342e-07	1.9739e-07	1.89535e-07	1.24544e-08	3.47379e-09	0	5.65799e-09	0	1.2692e-07	0	0	0	0	3.20651e-09	0	1.63737e-07
d3_2	0.0269127	6.29129e-05	4.30551e-05	7.15368e-05	4.47651e-05	6.92003e-05	6.69183e-05	4.96314e-05	4.06674e-05	5.42213e-05	6.54748e-05	4.87707e-05	5.3816e-05	6.28631e-05	3.29511e-05	5.68654e-05	6.15651e-05	5.07673e-05	3.17434e-05	8.28965e-05	4.48803e-05	4.48913e-05	5.3113e-05	2.64342e-05	6.15948e-05	4.44135e-05	4.01472e-05	5.91034e-05	2.81068e-05	1.95902e-05	1.55022e-05	2.87654e-05	1.65967e-05	2.11067e-05	1.08375e-05	3.28247e-05	2.15383e-05	1.37956e-05	1.83805e-05	3.32439e-05	3.38334e-05	2.259e-05	1.99922e-05	9.91352e-06	1.59167e-05	7.998e-06	1.65461e-05	1.6034e-05	1.13642e-05	7.94367e-06	8.37086e-06	5.3612e-06	4.5165e-06	1.14637e-05	7.92671e-06	1.0127e-05	4.90139e-06	2.77209e-06	5.81151e-06	1.1209e-05	2.0519e-06	3.03782e-06	1.44139e-06	2.92107e-06	2.65626e-06	6.05773e-06	6.3482e-06	1.53908e-06	2.55076e-07	5.29558e-07	1.07078e-06	3.2409e-06	1.3686e-06	8.48965e-06	7.80028e-08	2.10034e-07	1.92313e-07	8.369e-07	2.24672e-08	1.95172e-08	3.91592e-08	2.53941e-07	1.10292e-07	5.38786e-08	3.00661e-09	6.75043e-09	7.91768e-08	0	9.58121e-09	7.63742e-09	3.4964e-09	1.22363e-07	0	6.99261e-08	5.47763e-09	0	0	0	0
d3_3	0.0159971	3.78715e-05	6.49652e-05	5.3308e-05	6.73327e-05	4.22611e-05	4.2696e-05	6.25609e-05	3.18044e-05	5.08526e-05	6.5026e-05	6.18252e-05	6.52261e-05	3.95115e-05	3.56147e-05	4.09551e-05	4.52933e-05	4.16174e-05	3.74824e-05	4.02891e-05	4.89437e-05	3.87431e-05	3.42852e-05	4.1348e-05	5.07775e-05	3.7799e-05	3.43705e-05	3.65238e-05	2.80956e-05	3.3357e-05	3.80829e-05	3.91074e-05	3.70224e-05	1.96976e-05	9.49197e-06	2.47524e-05	2.66625e-05	1.71807e-05	1.3241e-05	2.36322e-05	2.27728e-05	1.35943e-05	1.23936e-05	3.69361e-05	1.78522e-05	2.22795e-05	2.02575e-05	1.05892e-05	1.98181e-05	6.33443e-06	1.63182e-05	8.78994e-06	5.69267e-06	1.35506e-05	1.09245e-05	1.89324e-05	3.6106e-06	4.5649e-06	1.16946e-05	5.36491e-06	4.68176e-06	6.0255e-06	1.03394e-05	8.3285e-06	5.95082e-06	8.09306e-06	5.60547e-06	7.87406e-07	1.2621e-06	1.00752e-06	1.63651e-07	3.15091e-06	3.27286e-07	2.27466e-06	2.58857e-06	4.42357e-07	2.51645e-06	2.68253e-08	3.78668e-07	4.76211e-07	2.56818e-06	2.16808e-08	4.6712e-09	1.07858e-07	1.08081e-07	1.08033e-08	0	2.49601e-07	0	6.42127e-07	0	0	0	0	0	9.61985e-08	4.32781e-09	2.14477e-06	0
d3_4	0.0107927	6.03869e-05	4.24829e-05	6.66534e-05	5.20414e-05	6.60023e-05	5.76002e-05	5.4016e-05	5.63113e-05	4.55401e-05	3.74082e-05	3.88353e-05	4.60879e-05	3.94256e-05	6.43932e-05	3.69482e-05	3.24102e-05	6.07182e-05	5.11741e-05	5.93715e-05	5.09768e-05	4.61706e-05	5.52303e-05	3.51889e-05	3.31453e-05	4.91207e-05	2.5141e-05	3.20738e-05	4.4156e-05	2.85236e-05	3.98235e-05	4.26111e-05	1.2248e-05	1.86138e-05	1.59883e-05	2.23482e-05	2.74185e-05	2.24052e-05	4.99291e-05	6.14096e-06	4.08929e-05	2.1906e-05	2.28531e-05	4.43113e-05	5.43232e-06	8.77627e-06	1.4259e-05	6.57657e-06	1.64185e-05	5.28783e-06	1.94865e-05	1.86872e-05	2.2464e-05	1.47923e-06	9.26356e-06	5.04068e-06	6.86115e-06	1.48979e-05	1.10491e-05	1.68414e-06	7.20586e-06	4.14073e-06	2.68573e-06	1.26699e-06	1.13143e-06	5.81048e-06	1.1152e-05	1.11903e-05	5.34657e-06	2.11185e-07	1.96689e-07	6.34916e-07	4.95435e-07	3.7325e-06	4.05437e-06	3.25151e-06	1.31429e-07	1.88085e-07	2.31523e-06	1.57204e-06	6.51433e-08	1.23176e-07	6.31534e-07	7.56036e-08	1.73966e-07	5.1334e-06	3.66132e-07	7.03102e-08	3.29832e-08	0	1.20946e-07	0	9.44541e-07	0	2.61354e-08	0	0	0	0
d3_5	0.00762777	5.99522e-05	7.32332e-05	4.80175e-05	8.07084e-05	5.9747e-05	5.40913e-05	6.12553e-05	4.70867e-05	4.11285e-05	3.04166e-05	3.91596e-05	3.42056e-05	3.97392e-05	4.8951e-05	4.29602e-05	5.30079e-05	6.25744e-05	5.95487e-05	5.25461e-05	4.74134e-05	6.03951e-05	5.29551e-05	5.4751e-05	2.61982e-05	5.53178e-05	3.61908e-05	4.03129e-05	2.91897e-05	2.39431e-05	3.35463e-05	3.29975e-05	3.75036e-05	2.39915e-05	2.0576e-05	1.39792e-05	2.21572e-05	3.76538e-05	2.27472e-05	1.29371e-05	1.45064e-05	8.82159e-06	2.17927e-05	1.05141e-05	1.89586e-05	4.04832e-05	1.93106e-05	6.05612e-06	3.54139e-05	9.46131e-06	9.14635e-06	1.15287e-05	3.95192e-05	4.7413e-06	9.96767e-06	1.06485e-05	1.75195e-05	2.01644e-05	2.63455e-06	1.72848e-06	8.41597e-06	1.12276e-05	5.71325e-06	1.97588e-06	2.81159e-06	7.0366e-07	4.19782e-07	1.62493e-06	1.27453e-06	9.67231e-07	1.05723e-06	4.5496e-06	1.2739e-06	5.91196e-06	7.10253e-06	3.5549e-06	3.25497e-08	6.19408e-06	2.58226e-06	3.11316e-06	1.26165e-08	1.17854e-07	1.27278e-07	3.7297e-06	1.8723e-07	2.88115e-07	5.07436e-08	2.11693e-07	3.62259e-06	0	3.84741e-07	1.27197e-05	0	2.22732e-09	0	8.03283e-09	0	0	0
d3_6	0.00570364	5.23695e-05	7.84947e-05	3.46862e-05	5.27877e-05	6.49616e-05	4.66092e-05	4.26996e-05	5.55062e-05	4.92803e-05	5.10543e-05	5.31817e-05	6.29624e-05	4.26914e-05	4.64931e-05	5.27375e-05	4.20189e-05	4.61392e-05	5.28151e-05	4.49888e-05	4.99736e-05	5.44857e-05	4.85773e-05	2.76724e-05	2.99281e-05	3.97036e-05	4.39078e-05	6.65087e-05	3.55078e-05	3.10055e-05	2.65419e-05	5.85904e-05	3.85617e-05	2.21641e-05	6.58468e-05	1.67279e-05	3.00425e-05	1.2893e-05	2.98056e-05	2.97657e-05	1.56096e-05	3.53106e-05	2.69048e-05	1.8363e-05	1.67611e-05	1.5966e-05	1.92173e-05	6.59451e-06	1.60841e-05	1.36981e-05	1.41555e-05	2.63e-05	1.59053e-05	3.3715e-05	4.67667e-06	8.36755e-06	1.97365e-05	3.42442e-06	1.54417e-05	1.46425e-05	1.15933e-05	9.26299e-06	2.13379e-05	2.46163e-05	1.11738e-06	2.89455e-06	1.10807e-05	8.53931e-06	2.01788e-06	8.42206e-06	5.19124e-06	1.07586e-05	1.34736e-06	8.5599e-07	2.24326e-06	4.35408e-06	2.85265e-06	9.10173e-06	8.1621e-07	3.15188e-06	1.4718e-07	1.2864e-07	6.34541e-07	5.02442e-07	3.96541e-06	2.50847e-06	1.56983e-07	3.44578e-09	1.78832e-06	2.12477e-09	5.28428e-08	1.66348e-06	1.50446e-07	1.47136e-08	0	0	0	0	0
d3_7	0.00434533	6.55855e-05	5.99999e-05	3.31407e-05	2.60625e-05	2.94961e-05	4.43904e-05	4.32258e-05	5.06138e-05	4.61619e-05	4.02799e-05	4.37594e-05	5.7907e-05	3.78539e-05	4.62062e-05	6.14892e-05	5.29016e-05	3.90112e-05	3.54836e-05	3.45256e-05	2.93061e-05	3.98625e-05	3.064e-05	3.35738e-05	3.33663e-05	2.47902e-05	6.02639e-05	3.41888e-05	4.37162e-05	1.44425e-05	2.55135e-05	3.70544e-05	4.16272e-05	3.61645e-05	2.29752e-05	2.24532e-05	3.07862e-05	2.97822e-05	1.30843e-05	2.53356e-05	2.68262e-05	1.7116e-05	1.33461e-05	1.31529e-05	1.05151e-05	1.77686e-05	1.55844e-05	8.97951e-06	3.70728e-05	2.41483e-05	4.39944e-06	2.31489e-05	1.46376e-05	7.87806e-06	1.20366e-05	1.23725e-05	1.95515e-05	2.31069e-05	1.01636e-05	1.38413e-05	1.05009e-05	1.52482e-05	2.27132e-06	7.6588e-06	9.35014e-06	1.76459e-05	7.41855e-06	5.34008e-06	3.21895e-06	1.01954e-05	6.77797e-06	1.39696e-06	6.99808e-06	8.57173e-06	7.91821e-07	3.42137e-07	1.52239e-06	1.86608e-07	6.00807e-06	1.99851e-07	2.84555e-06	1.74768e-07	7.54709e-08	2.04635e-06	4.81454e-09	4.14603e-08	7.46027e-08	3.49214e-08	9.28896e-07	1.31245e-08	3.43013e-06	0	1.81524e-06	3.03326e-07	1.36396e-06	0	0	2.33152e-07	0
d3_8	0.00338667	3.63908e-05	3.06762e-05	5.30499e-05	4.37808e-05	4.61311e-05	2.94279e-05	6.28172e-05	3.87703e-05	4.66541e-05	4.6037e-05	4.75946e-05	3.48532e-05	5.75324e-05	3.90158e-05	4.23084e-05	4.05952e-05	3.48834e-05	5.05543e-05	4.85467e-05	3.61878e-05	4.28251e-05	3.88404e-05	4.43955e-05	5.32774e-05	3.18834e-05	3.18805e-05	2.24019e-05	2.97992e-05	3.94905e-05	2.42635e-05	3.99578e-05	2.36754e-05	3.23165e-05	2.18754e-05	3.47881e-05	2.17369e-05	4.07892e-05	1.73403e-05	2.04693e-05	2.8578e-05	1.74541e-05	3.58182e-05	2.42926e-05	1.90103e-05	3.20723e-05	2.05149e-05	1.28091e-05	2.11623e-05	1.78607e-05	1.84905e-05	1.41145e-05	2.48373e-05	5.26569e-06	3.97445e-06	9.19188e-06	4.73816e-06	4.0361e-06	1.03458e-05	1.51269e-05	7.29575e-06	4.73684e-06	1.07507e-05	3.66635e-06	1.8064e-05	8.64882e-07	1.15036e-05	2.80161e-06	3.94712e-06	1.24716e-05	9.97334e-06	5.32641e-06	7.29298e-06	3.23933e-08	3.5355e-06	2.85273e-07	2.44945e-06	5.88948e-06	2.74051e-06	3.31319e-07	2.6098e-07	7.86752e-06	2.24935e-06	2.07308e-07	0	2.56797e-07	4.89628e-06	1.05981e-07	1.52754e-08	2.81363e-08	1.43728e-08	9.37179e-09	4.91234e-10	0	0	1.27438e-07	2.0181e-06	2.37402e-06	1.41183e-08
d3_9	0.00265222	4.77922e-05	2.78597e-05	6.944e-05	5.45771e-05	4.15983e-05	4.3309e-05	6.33781e-05	3.51764e-05	5.28756e-05	2.93295e-05	3.5446e-05	3.36106e-05	4.23627e-05	4.47406e-05	4.67002e-05	5.85767e-05	4.22052e-05	6.5759e-05	2.41704e-05	4.54332e-05	5.18548e-05	3.939e-05	4.94117e-05	5.0222e-05	3.38895e-05	5.17611e-05	3.20287e-05	2.34799e-05	3.02692e-05	3.42978e-05	2.89871e-05	2.18192e-05	1.90737e-05	4.15648e-05	2.7715e-05	4.11672e-05	3.78917e-05	3.16893e-05	2.29741e-05	3.1384e-05	3.42084e-05	1.61253e-05	2.08589e-05	2.12668e-05	2.1992e-05	3.98053e-05	1.85124e-05	1.33027e-05	1.20031e-05	2.10308e-05	1.99703e-05	1.42177e-05	1.15854e-05	1.08806e-05	2.01046e-05	2.05329e-05	1.56345e-05	2.53036e-05	2.51424e-05	8.45414e-06	9.80643e-06	1.39395e-06	6.52655e-06	1.49169e-05	7.5457e-06	2.62281e-06	5.42431e-06	7.17003e-06	1.37963e-05	6.74788e-06	7.52307e-07	8.53953e-07	5.13941e-06	1.64533e-06	2.40591e-05	3.95845e-07	1.215e-05	4.96344e-06	2.56454e-06	3.31706e-06	1.12735e-06	2.15061e-06	3.75474e-07	4.76236e-06	2.29138e-07	2.05467e-05	2.47096e-08	1.83673e-06	3.78678e-07	1.04404e-05	3.77324e-06	1.40324e-07	6.61536e-06	0	0	0	2.73576e-08	0
d3_10	0.00215458	3.59851e-05	2.89667e-05	2.69409e-05	2.77425e-05	5.11852e-05	4.17249e-05	3.63326e-05	3.8216e-05	2.45919e-05	1.87186e-05	2.90822e-05	4.88965e-05	2.0345e-05	3.77531e-05	4.42819e-05	3.76388e-05	2.29999e-05	3.96838e-05	5.38868e-05	4.80496e-05	5.55508e-05	4.50316e-05	3.99836e-05	3.79464e-05	3.74135e-05	4.97271e-05	2.85445e-05	2.48101e-05	2.48486e-05	2.9779e-05	1.98057e-05	2.67873e-05	3.8761e-05	2.2343e-05	3.91166e-05	2.56997e-05	2.81046e-05	1.05568e-05	4.03259e-05	2.99728e-05	2.51935e-05	1.57618e-05	5.58826e-05	1.46705e-05	3.24083e-05	2.30168e-05	2.73438e-05	2.0383e-05	2.15961e-05	1.33502e-05	4.28908e-06	7.10437e-06	3.41191e-06	2.7353e-05	2.02164e-05	9.74655e-06	1.4564e-05	1.06654e-05	1.27289e-05	1.60485e-05	1.86734e-05	5.71298e-06	1.00269e-05	4.94547e-06	1.20788e-05	7.79518e-06	3.87314e-06	5.79907e-06	5.90251e-06	1.69326e-06	2.05826e-05	1.52503e-05	5.38301e-07	6.68601e-06	5.21799e-07	7.73041e-06	2.99569e-07	3.4938e-07	5.61198e-06	1.10897e-05	2.46438e-07	1.94925e-06	3.88976e-07	4.36289e-07	6.26166e-07	7.03511e-06	5.28376e-06	1.62314e-07	4.22181e-07	2.53396e-07	1.55659e-06	6.93969e-07	1.26648e-06	1.09478e-08	2.53653e-06	0	5.12779e-06	1.58683e-05
d3_11	0.00171102	2.05031e-05	4.08574e-05	2.19174e-05	3.15338e-05	4.65254e-05	2.36545e-05	3.08036e-05	3.27909e-05	5.23704e-05	4.9356e-05	2.77485e-05	3.49911e-05	4.58778e-05	4.0573e-05	4.02492e-05	4.89879e-05	4.04639e-05	2.95728e-05	1.91919e-05	3.33797e-05	1.69895e-05	5.34267e-05	4.21038e-05	3.10918e-05	2.63352e-05	3.01324e-05	2.42511e-05	2.81994e-05	3.2362e-05	4.09182e-05	2.40997e-05	1.68616e-05	1.73067e-05	1.88999e-05	1.85429e-05	2.39477e-05	5.8964e-05	3.43241e-05	2.69107e-05	1.60588e-05	2.3381e-05	3.96248e-05	3.75843e-05	2.21992e-05	3.44764e-05	2.6587e-05	2.72421e-05	2.77675e-05	2.17371e-05	1.83424e-05	1.46091e-05	5.03557e-06	1.08289e-05	8.3804e-06	1.56957e-05	1.62624e-05	1.47884e-05	7.33111e-06	9.43774e-06	6.41487e-06	1.54524e-05	1.22849e-05	6.42807e-06	8.94677e-06	1.54068e-05	2.20394e-05	2.04151e-06	1.01163e-05	6.92e-06	9.51114e-07	1.21498e-05	1.38022e-06	2.17675e-05	6.03173e-06	6.75995e-06	8.36446e-06	1.0328e-05	1.6004e-05	3.82453e-06	4.15861e-07	1.71215e-06	1.06474e-07	1.10151e-06	4.42357e-06	2.7052e-07	7.52153e-06	3.77379e-08	1.27825e-05	1.68166e-06	2.35374e-10	3.79241e-08	9.10355e-08	6.37627e-08	0	1.27566e-06	1.58197e-07	1.80724e-07	2.99344e-06
d3_12	0.00142209	2.66312e-05	3.55791e-05	3.45006e-05	3.45753e-05	2.55908e-05	3.31223e-05	4.00406e-05	3.29299e-05	4.20416e-05	4.18332e-05	5.06059e-05	2.6038e-05	5.42757e-05	3.28155e-05	3.00151e-05	4.00703e-05	2.40856e-05	4.07636e-05	5.63712e-05	4.60434e-05	4.00313e-05	4.77572e-05	3.25315e-05	4.25508e-05	4.13597e-05	3.60486e-05	4.01057e-05	3.50502e-05	1.36178e-05	3.70398e-05	1.95495e-05	2.00568e-05	2.86568e-05	4.20157e-05	2.0819e-05	3.44579e-05	2.95241e-05	2.83226e-05	3.3529e-05	1.16582e-05	1.82004e-05	4.21309e-05	3.24367e-05	2.21153e-05	3.05404e-05	1.78555e-05	7.70209e-06	3.05547e-05	2.70825e-05	4.57093e-06	2.09425e-05	1.02735e-05	2.64412e-05	2.09909e-05	2.2681e-05	6.16818e-06	1.70508e-05	8.3735e-06	2.3681e-05	1.2994e-05	9.93262e-06	1.22138e-05	1.32179e-05	1.21371e-05	9.06827e-06	5.17153e-06	1.46971e-05	1.44939e-05	7.33037e-06	1.43762e-05	7.58277e-07	1.72187e-05	5.89192e-06	3.24886e-06	1.16254e-05	7.95809e-06	2.6468e-06	1.0691e-05	9.35705e-07	8.68863e-06	3.3316e-06	2.45901e-06	3.92782e-06	1.72747e-06	4.46492e-06	1.59664e-06	1.19945e-06	6.141e-06	1.3089e-06	3.27087e-07	2.66033e-07	1.23238e-07	0	2.68957e-07	4.76853e-06	0	1.62774e-08	2.42169e-06
d3_13	0.00113018	3.5128e-05	2.55115e-05	6.31853e-05	2.65408e-05	1.86263e-05	3.96507e-05	2.13673e-05	2.06285e-05	3.51672e-05	3.7122e-05	3.36488e-05	1.8556e-05	3.46133e-05	3.282e-05	2.77297e-05	3.18919e-05	5.38884e-05	4.08996e-05	4.13252e-05	4.12225e-05	2.74003e-05	4.90088e-05	3.1387e-05	3.69687e-05	2.454e-05	6.28386e-05	4.09442e-05	5.35365e-05	3.35441e-05	1.78283e-05	2.62232e-05	4.93913e-05	3.1823e-05	3.63557e-05	3.49519e-05	2.42928e-05	2.84802e-05	1.31367e-05	4.44192e-05	3.37445e-05	2.55901e-05	2.84989e-05	5.2604e-05	5.15139e-05	4.01022e-05	1.97067e-05	1.14675e-05	1.13391e-05	3.26081e-05	1.44687e-05	3.51462e-05	1.17812e-05	2.26743e-05	1.50664e-05	1.00925e-05	1.58196e-05	2.32767e-05	1.26968e-05	5.69184e-06	2.03642e-05	1.67629e-05	1.14187e-05	1.71076e-05	2.17671e-05	2.5401e-06	3.63458e-06	1.51547e-05	4.98528e-06	1.09265e-05	1.30211e-05	9.74255e-06	6.5532e-06	2.06706e-06	8.50903e-06	4.55449e-07	2.76418e-06	7.08142e-07	4.95086e-06	7.69444e-06	2.13967e-06	6.97525e-06	8.79132e-06	8.96431e-08	9.88907e-06	1.60989e-08	3.11234e-06	1.35297e-06	9.24341e-06	6.49926e-06	2.78521e-06	4.9928e-07	2.1017e-08	8.39545e-09	4.59995e-06	2.05901e-09	1.69011e-06	0	0
d3_14	0.000931865	2.86502e-05	1.76606e-05	2.86155e-05	2.43666e-05	2.85637e-05	3.75323e-05	2.30721e-05	2.74268e-05	3.03099e-05	2.17708e-05	3.779e-05	2.31936e-05	3.33451e-05	2.96435e-05	1.986e-05	3.58699e-05	1.72168e-05	4.69666e-05	3.04789e-05	3.14607e-05	4.21982e-05	4.85178e-05	2.87439e-05	3.81558e-05	4.26464e-05	4.84245e-05	5.16921e-05	3.75158e-05	4.8594e-05	3.39507e-05	4.52681e-05	4.27259e-05	3.46451e-05	3.92946e-05	6.07449e-05	3.37566e-05	1.40025e-05	3.09253e-05	1.31758e-05	1.66826e-05	2.49576e-05	2.27587e-05	1.71007e-05	4.06145e-05	1.6132e-05	3.09096e-05	3.26838e-05	1.62171e-05	2.93598e-05	3.05196e-05	9.2667e-06	1.60105e-05	1.6326e-05	1.67751e-05	4.3372e-05	3.29039e-05	9.82131e-06	2.36728e-05	8.67867e-06	1.39346e-05	1.23426e-05	2.28546e-05	6.41333e-06	6.3547e-06	1.18801e-05	1.21418e-05	2.05489e-06	2.67719e-05	1.80034e-05	2.9848e-06	1.10057e-05	1.61969e-05	1.42249e-05	4.75352e-06	1.32123e-05	4.53888e-06	9.83601e-06	2.6058e-07	4.11858e-06	1.15466e-05	1.07619e-05	7.42499e-07	1.55334e-08	2.97011e-06	9.25123e-06	7.41172e-07	8.15549e-06	1.58578e-06	0	6.36986e-09	1.81633e-07	2.07571e-06	8.08134e-08	3.44321e-07	0	4.02147e-06	6.73692e-09	3.53845e-06
d3_15	0.00077817	3.7385e-05	4.07459e-05	4.24048e-05	3.0072e-05	6.74722e-05	4.13082e-05	2.5669e-05	1.98913e-05	3.42377e-05	2.77063e-05	4.57276e-05	3.30795e-05	2.18269e-05	3.94907e-05	1.55306e-05	2.72955e-05	3.25549e-05	2.08452e-05	2.2067e-05	2.35551e-05	4.04157e-05	3.60088e-05	2.875e-05	3.63652e-05	4.06951e-05	5.06926e-05	2.33981e-05	2.88928e-05	3.03664e-05	2.36286e-05	2.09952e-05	3.47872e-05	3.72602e-05	3.64775e-05	2.49259e-05	1.30695e-05	5.53239e-05	2.27889e-05	3.77723e-05	1.44406e-05	3.03701e-05	1.46259e-05	3.83357e-05	2.62073e-05	3.48093e-05	1.96829e-05	2.65421e-05	9.75646e-06	2.26889e-05	1.5572e-05	4.24987e-05	2.00869e-05	1.59212e-05	2.82564e-05	1.16498e-05	7.28196e-06	1.78598e-05	1.12428e-05	1.46097e-05	3.27079e-05	2.07743e-05	2.15073e-05	1.29613e-05	1.11008e-06	9.52523e-06	1.00806e-05	5.87859e-06	2.85974e-05	1.29533e-05	6.27625e-07	2.72796e-05	3.45138e-06	5.84694e-06	1.59609e-06	2.18717e-06	9.18957e-06	4.86195e-06	3.88783e-06	9.65257e-06	3.0132e-06	7.53973e-07	2.07775e-06	9.33917e-07	1.77467e-06	7.75056e-06	2.40449e-06	6.52968e-07	3.45274e-07	1.725e-06	4.73313e-07	8.13397e-08	2.15495e-06	1.91756e-07	7.83953e-09	2.86088e-06	1.23503e-07	8.24087e-08	1.76754e-06
d3_16	0.000643217	2.83372e-05	2.6325e-05	2.38656e-05	3.15336e-05	2.20786e-05	2.28151e-05	2.71182e-05	2.26342e-05	3.05464e-05	5.5625e-05	7.40141e-05	2.85081e-05	4.19332e-05	2.55326e-05	4.37512e-05	2.21962e-05	3.5018e-05	2.94268e-05	3.31786e-05	3.63526e-05	4.58869e-05	5.3272e-05	4.95111e-05	3.15552e-05	4.70831e-05	5.27394e-05	3.91528e-05	1.3839e-05	3.19752e-05	2.48463e-05	3.11871e-05	2.45286e-05	4.03625e-05	2.93439e-05	1.77421e-05	2.0962e-05	1.53525e-05	4.01208e-05	1.76719e-05	1.5687e-05	2.96489e-05	2.27948e-05	3.17832e-05	2.13135e-05	4.07745e-05	2.77219e-05	1.97862e-05	2.0257e-05	2.89325e-05	1.37254e-05	2.83395e-05	2.45387e-05	1.62717e-05	3.83943e-05	2.04366e-05	4.1739e-05	2.13381e-05	1.63645e-05	2.71378e-05	1.45075e-05	6.0078e-06	2.84855e-05	1.99347e-05	2.07214e-05	7.41574e-06	1.14054e-05	1.61757e-05	1.70352e-05	1.33161e-05	8.36629e-06	2.2261e-06	2.30135e-05	6.9875e-07	1.53868e-05	5.89505e-06	3.8478e-06	8.65722e-06	9.00711e-06	1.31135e-05	6.66157e-06	7.25854e-07	3.19285e-06	5.21637e-07	9.48947e-06	5.09249e-06	5.91973e-06	3.31695e-07	3.45671e-07	2.15235e-07	9.95527e-06	6.14409e-07	7.03567e-06	3.11528e-06	5.56253e-07	4.16084e-09	9.09509e-10	2.25818e-07	1.97586e-07
