	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.00908407	0.00511288	0.00367506	0.00312647	0.00269235	0.00250401	0.00215478	0.00196279	0.00190934	0.00177243	0.00181641	0.00163171	0.00166131	0.0016094	0.00153873	0.00159384	0.00156213	0.00140441	0.00144604	0.00137613	0.00129669	0.00129129	0.00137294	0.00137152	0.00126472	0.00128591	0.00124981	0.00118775	0.00124996	0.00112644	0.00121406	0.00132808	0.00106607	0.00109849	0.00144283	0.00121332	0.0011841	0.00114508	0.00121448	0.0011558	0.0012274	0.00122538	0.0011748	0.00128352	0.00106672	0.00121727	0.00119218	0.00113808	0.00113139	0.00117165	0.00101748	0.00111332	0.00112232	0.00116878	0.00114102	0.00110887	0.00119438	0.00106564	0.00105148	0.00117096	0.00109256	0.00111391	0.00108837	0.00118621	0.00112991	0.00105966	0.00108434	0.00113618	0.000964827	0.000997046	0.00108672	0.000970127	0.00100598	0.0010717	0.00108254	0.00106338	0.00102221	0.000877232	0.00107253	0.00108636	0.00106412	0.0010511	0.0011346	0.00110594	0.000952819	0.00102492	0.000981898	0.00110303	0.00125851	0.00103255	0.000894868	0.000948593	0.00108291	0.100666
d2_1	0.111587	1.04601e-08	6.63061e-06	1.0755e-08	1.32397e-05	5.67358e-06	2.26777e-05	1.13464e-05	1.13327e-05	1.90898e-06	5.67578e-06	1.70135e-05	6.07358e-09	1.13627e-05	1.8893e-05	2.0804e-05	7.55642e-06	1.32221e-05	1.70143e-05	9.46469e-06	5.66299e-06	1.5818e-08	9.45123e-06	1.51296e-05	1.76621e-08	5.66709e-06	9.4701e-06	7.56294e-06	1.32335e-05	6.6279e-06	1.32357e-05	5.67875e-06	1.0705e-08	1.703e-05	5.68949e-06	2.08025e-05	1.28382e-08	2.97784e-08	2.8339e-05	1.8886e-05	1.74585e-08	1.13382e-05	1.48067e-08	5.69834e-06	1.98542e-05	2.17555e-05	5.68499e-06	1.89088e-05	1.13488e-05	1.63462e-09	1.13472e-05	2.07971e-05	1.41858e-05	1.89898e-06	1.32375e-05	5.69408e-06	2.90201e-08	8.02197e-09	1.17701e-08	8.74433e-09	7.56125e-06	1.3245e-05	1.13421e-05	5.67639e-06	1.1348e-05	1.32278e-05	3.8178e-06	3.81345e-06	3.02349e-05	5.6786e-06	5.67305e-06	5.67293e-06	1.13374e-05	8.11481e-09	5.67468e-06	2.27063e-05	7.57861e-06	9.45529e-06	1.41553e-08	1.13352e-05	7.57454e-06	7.5631e-06	1.3235e-05	1.22901e-05	1.9083e-06	1.13435e-05	1.90395e-06	1.70147e-05	5.67928e-06	1.32348e-05	5.67678e-06	4.55512e-09	5.67105e-06	5.68314e-06	0.00142688
d2_2	0.0455728	2.08022e-05	1.79556e-05	1.13483e-05	1.51426e-05	7.56657e-06	1.13303e-05	5.67547e-06	5.67651e-06	1.13409e-05	5.68602e-06	5.67896e-06	1.32323e-05	9.33611e-09	2.6141e-09	1.3253e-05	7.5743e-06	1.32458e-05	1.32453e-05	1.89073e-05	1.70348e-05	3.80614e-06	1.13577e-05	4.33684e-09	2.26936e-05	1.1335e-05	1.1355e-05	7.55464e-06	3.82369e-06	1.69995e-05	1.13703e-05	7.7463e-09	3.21085e-09	1.13393e-05	1.51244e-05	1.70222e-05	7.58953e-06	1.88963e-05	5.12133e-09	5.67674e-06	5.67706e-06	1.44137e-08	5.68112e-06	5.68198e-06	7.57242e-06	1.88995e-05	5.66474e-06	1.13446e-05	2.45733e-05	2.26779e-05	7.57929e-06	1.32474e-05	1.70207e-05	5.67626e-06	7.57277e-06	1.32536e-08	9.72632e-09	1.70038e-05	2.83371e-05	1.89673e-06	1.69971e-05	1.13693e-05	1.51303e-05	5.69459e-06	5.66608e-06	5.67702e-06	2.83323e-05	6.82292e-09	5.67516e-06	1.11742e-08	7.56331e-06	7.57261e-06	9.45806e-06	1.3236e-05	5.81498e-09	1.32283e-05	1.88936e-05	1.32437e-05	5.9289e-09	7.12959e-09	2.64465e-05	5.67383e-06	5.67749e-06	3.02363e-05	7.57991e-06	1.32479e-05	6.37041e-09	1.89001e-05	1.51293e-05	1.13382e-05	1.05601e-08	5.67791e-06	2.07844e-05	5.6768e-06	0.00131168
d2_3	0.0247925	2.0802e-05	7.57663e-06	2.87982e-08	5.34174e-09	5.7021e-06	1.89795e-06	1.70015e-05	7.57089e-06	1.32401e-05	1.90277e-06	3.96968e-05	5.67695e-06	1.91199e-06	5.67101e-06	1.32371e-05	7.57157e-06	2.64552e-05	5.52593e-09	1.51331e-05	1.32298e-05	1.13415e-05	1.22945e-08	1.90762e-06	1.3091e-08	1.32305e-05	7.57532e-06	1.32259e-05	1.13454e-05	5.67457e-06	2.26841e-05	5.67837e-06	7.56302e-06	6.8359e-09	1.13533e-05	1.6097e-05	2.08055e-05	2.85446e-06	1.1344e-05	9.4568e-06	2.08129e-05	1.70187e-05	9.46521e-06	1.13444e-05	5.67376e-06	2.26777e-05	1.70289e-05	1.32175e-05	5.67727e-06	7.58281e-06	1.88852e-05	3.51356e-09	5.676e-06	7.56785e-06	1.69996e-05	1.89785e-06	1.70163e-05	1.70204e-05	5.69766e-06	1.32437e-05	2.64501e-05	1.32277e-05	1.13647e-05	5.45046e-09	1.51151e-05	5.68917e-06	1.70067e-05	5.67092e-06	5.67717e-06	1.70109e-05	7.57034e-06	1.70273e-05	3.02388e-05	5.67824e-06	5.67502e-06	1.13413e-05	5.67773e-06	1.89043e-05	6.57105e-09	1.51215e-05	1.88963e-05	7.55848e-06	1.8992e-06	1.32349e-05	5.67114e-06	7.56189e-06	1.13408e-05	7.5654e-06	8.52163e-06	2.26748e-05	5.67528e-06	7.60586e-09	1.13442e-05	1.51454e-05	0.00127096
d2_4	0.0153161	7.8767e-09	1.13418e-05	1.70215e-05	1.13519e-05	5.6726e-06	5.67094e-06	1.32394e-05	7.5781e-06	5.67603e-06	7.56269e-06	7.57459e-06	1.89721e-06	6.10668e-09	1.13419e-05	1.32281e-05	5.67617e-06	1.13299e-05	1.13507e-05	5.67208e-06	6.29527e-09	1.32268e-05	3.80688e-06	1.13486e-05	5.67794e-06	5.67125e-06	1.9092e-06	1.98394e-05	1.11316e-08	1.51356e-05	1.51386e-05	7.56492e-06	7.56346e-06	1.70186e-05	1.1349e-05	5.671e-06	2.26822e-05	1.90869e-06	1.13459e-05	1.5211e-08	3.11858e-05	1.13377e-05	1.7029e-08	1.91452e-06	5.67596e-06	2.081e-08	7.56002e-06	1.78498e-08	1.32281e-05	3.02203e-05	1.10304e-08	1.13416e-05	1.13419e-05	1.69295e-08	1.13471e-05	2.26894e-05	1.51678e-05	1.88865e-05	1.13427e-05	7.56856e-06	4.37562e-09	1.13437e-05	5.68418e-06	1.34678e-08	1.1359e-05	5.69139e-06	5.67125e-06	2.64719e-05	1.32413e-05	5.67532e-06	1.8973e-06	5.68772e-06	1.28379e-08	2.07978e-05	4.53401e-05	5.67948e-06	1.89025e-05	2.64461e-05	1.00632e-08	7.56386e-06	3.79245e-06	1.32375e-05	1.22466e-09	6.62639e-06	2.45875e-05	5.67872e-06	1.7008e-05	5.68262e-06	1.9027e-06	1.70358e-05	5.67833e-06	5.68152e-06	2.83456e-05	1.13575e-05	0.00138713
d2_5	0.0103228	1.70155e-05	1.51094e-05	2.26764e-05	1.51356e-05	5.67962e-06	1.92293e-06	1.70013e-05	1.4451e-08	2.45605e-05	1.13434e-05	2.72231e-09	7.57631e-06	5.70395e-06	9.45479e-06	3.02662e-05	1.0562e-08	1.41079e-08	5.67733e-06	1.89906e-06	1.1339e-05	1.90369e-06	5.67679e-06	7.56468e-06	1.9062e-06	1.32174e-05	1.89015e-05	7.56714e-06	1.13318e-05	7.56136e-06	1.13514e-05	5.6723e-06	5.68113e-06	5.68297e-06	7.5666e-06	6.22413e-10	7.58066e-06	5.68079e-06	5.71237e-06	1.13565e-05	1.47532e-08	1.64656e-08	1.32359e-05	1.41913e-05	8.52294e-06	5.68274e-06	1.89267e-05	7.92192e-09	1.70032e-05	5.68616e-06	2.45912e-05	4.86899e-09	1.60793e-05	5.67445e-06	5.67918e-06	5.67246e-06	1.7009e-05	1.70174e-05	1.70223e-05	1.13468e-05	5.67467e-06	1.89032e-05	1.88919e-05	5.66796e-06	5.66607e-06	1.13545e-05	9.46912e-06	2.26769e-05	5.6892e-06	1.29567e-08	1.32391e-05	1.70113e-05	5.67095e-06	2.07833e-05	1.70198e-05	1.93991e-08	1.13319e-05	7.56507e-06	1.514e-05	2.26185e-09	1.70077e-05	1.88992e-05	1.89067e-05	1.1342e-05	1.13663e-05	7.55827e-06	1.4283e-08	5.6716e-06	1.68296e-08	8.5735e-09	5.67316e-06	2.26842e-05	1.13381e-05	1.7013e-05	0.00149299
d2_6	0.00763483	1.89014e-05	0	2.8533e-06	7.58387e-06	1.13475e-05	1.13515e-05	1.10498e-08	5.66514e-06	7.5681e-06	1.13439e-05	1.13402e-05	5.67864e-06	1.55692e-08	1.60772e-05	4.59143e-09	1.89174e-05	0	3.21442e-05	1.9121e-06	9.77053e-09	1.32409e-05	1.13285e-05	1.70116e-05	1.90846e-06	1.66242e-08	1.13465e-05	7.56593e-06	1.32406e-05	5.55813e-09	2.95452e-09	1.13564e-05	5.68114e-06	7.5752e-06	5.69093e-06	2.26751e-05	1.85496e-08	1.81222e-09	1.13476e-05	5.68225e-06	7.72599e-09	1.42013e-05	1.56787e-08	3.80867e-06	1.13419e-05	4.3431e-09	1.13627e-05	5.68854e-06	3.55088e-09	1.1348e-05	1.13508e-05	1.51264e-05	2.14052e-08	1.27419e-08	1.07664e-08	1.7016e-05	1.13429e-05	7.57004e-06	1.89102e-05	1.32422e-05	1.32422e-05	1.32321e-05	1.13534e-05	5.6667e-06	5.67323e-06	1.5121e-05	1.88988e-05	6.44069e-09	1.91934e-06	2.47678e-09	2.83364e-05	1.13429e-05	1.51269e-05	1.32316e-05	1.89115e-06	1.32315e-05	7.56822e-06	5.68138e-06	1.3237e-05	1.13609e-05	5.6717e-06	1.47409e-08	1.51342e-05	2.84589e-06	5.69224e-06	5.49684e-09	1.70079e-05	2.83512e-05	5.68243e-06	7.56657e-06	5.67863e-06	3.21328e-05	5.67369e-06	2.26954e-05	0.0013417
d2_7	0.00571713	5.68028e-06	9.45906e-06	1.89009e-05	2.08069e-05	2.41584e-10	1.70052e-05	1.89158e-05	1.32336e-05	1.51313e-05	5.6795e-06	1.32262e-05	5.69049e-06	5.67614e-06	1.13758e-05	1.13367e-05	1.13941e-08	1.51271e-05	1.7009e-05	1.91068e-06	1.32487e-05	5.67119e-06	7.55538e-06	2.45641e-05	1.51214e-05	1.13358e-05	1.88945e-06	1.13351e-05	5.67718e-06	1.32258e-05	1.63924e-08	1.70047e-05	2.07814e-05	1.60528e-05	1.04118e-05	2.45705e-05	1.51322e-05	1.44175e-08	1.70135e-05	1.32303e-05	5.67181e-06	1.28366e-08	2.26684e-05	1.13375e-05	8.52731e-06	9.4631e-06	1.88827e-05	1.8897e-05	1.8978e-06	1.13458e-05	1.13404e-05	2.29837e-08	1.70168e-05	1.51161e-05	1.13526e-05	1.32279e-05	1.41808e-05	5.67198e-06	1.8903e-05	1.89004e-05	1.70197e-05	2.45829e-05	7.5606e-06	1.32349e-05	1.13554e-05	5.6808e-06	2.45732e-05	9.36827e-10	7.57322e-06	5.6951e-06	5.68496e-06	3.08022e-09	5.66968e-06	1.08772e-08	2.26692e-05	1.32306e-05	2.07947e-05	4.36654e-09	8.17344e-09	5.66823e-06	2.08089e-05	3.75002e-09	1.13432e-05	1.1355e-05	5.66593e-06	5.67015e-06	1.13365e-05	1.75988e-09	1.41872e-05	1.13426e-05	3.79825e-06	1.70073e-05	2.92968e-05	1.32199e-05	0.00142882
d2_8	0.00447118	1.8908e-05	5.67727e-06	1.89915e-06	1.89082e-05	5.67779e-06	2.64555e-05	5.48755e-09	1.91055e-06	1.89059e-05	8.3303e-09	1.89116e-05	1.88963e-05	2.26869e-05	7.21087e-10	4.78459e-09	1.13457e-05	2.45666e-05	3.02345e-05	5.67618e-06	9.45517e-06	5.66427e-06	2.26946e-05	9.45412e-06	7.57634e-06	4.07561e-09	7.57618e-06	8.6124e-09	2.08115e-05	1.2497e-08	6.62077e-06	5.6745e-06	7.56805e-06	1.41841e-05	1.90622e-06	1.13402e-05	5.66966e-06	1.01441e-08	2.83424e-05	1.13442e-05	1.7007e-05	2.26777e-05	1.70104e-05	1.13378e-05	1.51411e-05	9.46982e-06	1.7006e-05	1.13537e-05	2.74282e-05	1.13495e-05	1.13467e-05	1.32297e-05	1.13352e-05	2.26708e-05	1.32363e-05	2.08154e-05	9.46294e-06	7.6056e-09	8.40963e-09	3.02466e-05	5.67671e-06	1.89059e-05	1.13349e-05	1.13456e-05	1.12982e-08	2.45614e-05	1.13332e-05	1.13397e-05	8.74851e-11	8.28748e-09	1.90172e-06	7.56149e-06	5.84469e-09	8.87345e-09	7.57158e-06	1.70279e-05	7.56869e-06	8.59857e-09	7.55759e-06	1.3241e-05	1.88979e-05	3.78075e-05	5.67506e-06	2.07914e-05	1.13428e-05	7.57167e-06	2.08033e-05	7.59523e-06	1.90124e-06	7.5753e-06	7.34161e-09	7.56803e-06	1.32245e-05	1.13348e-05	0.00131628
d2_9	0.00368639	1.13363e-05	5.66806e-06	5.68105e-06	1.53032e-08	1.90599e-06	1.8975e-06	5.67898e-06	1.70178e-05	1.13395e-05	1.70188e-05	1.32406e-05	1.32394e-05	3.79086e-06	8.08636e-09	6.63821e-06	1.13371e-05	1.32425e-05	5.68864e-06	2.4558e-05	9.46684e-06	1.70256e-05	1.51352e-05	1.32409e-05	1.34802e-08	7.56954e-06	5.68104e-06	5.68104e-06	1.70142e-05	7.59302e-06	1.90514e-06	1.13343e-05	1.88936e-05	5.6789e-06	1.32462e-05	7.56749e-06	9.44847e-06	1.70107e-05	1.13475e-05	1.90445e-06	7.57826e-06	7.56448e-06	1.13493e-05	7.56284e-06	1.89887e-06	2.26822e-05	7.56991e-06	5.68612e-06	9.4556e-06	5.67788e-06	7.56998e-06	1.13475e-05	1.13407e-05	5.68611e-06	5.68118e-06	1.51424e-05	1.13389e-05	5.68119e-06	5.66765e-06	5.67401e-06	5.68296e-06	5.69232e-06	2.45592e-05	1.13308e-05	1.32368e-05	1.13328e-05	2.83592e-05	2.04033e-08	1.3223e-05	1.91147e-06	1.13289e-05	2.26825e-05	1.70105e-05	7.57545e-06	7.56809e-06	2.45463e-09	5.67041e-06	1.32455e-05	7.56799e-06	7.5679e-06	2.26716e-05	7.56211e-06	1.90582e-06	1.70106e-05	1.13384e-05	1.89799e-06	1.88965e-05	5.66158e-06	6.52713e-09	5.66723e-06	2.0795e-05	5.67455e-06	5.67346e-06	1.89706e-06	0.00145422
d2_10	0.00328159	5.68069e-06	1.13401e-05	9.45964e-06	1.11703e-08	1.89863e-06	5.6761e-06	1.51205e-05	1.13366e-05	7.56843e-06	1.89022e-05	9.46455e-06	7.56742e-06	7.56917e-06	2.26919e-05	8.73329e-09	1.32282e-05	1.32342e-05	1.90613e-06	1.13386e-05	2.45756e-05	1.32347e-05	1.3223e-05	1.98644e-05	2.45755e-05	5.68747e-06	5.68156e-06	5.68328e-06	1.39818e-08	1.32508e-05	7.57651e-06	1.13453e-05	7.5784e-06	1.13271e-05	8.51583e-06	1.51209e-05	5.67316e-06	2.26809e-05	1.13583e-05	1.13633e-05	1.98564e-05	1.32448e-05	5.66944e-06	1.13451e-05	9.42693e-09	1.13591e-05	1.32273e-05	2.26841e-05	7.57618e-06	5.69396e-06	7.58631e-06	5.67425e-06	2.67632e-08	1.1345e-05	1.13491e-05	1.36518e-08	3.46767e-09	1.13409e-05	5.66209e-06	1.90599e-06	5.67751e-06	1.32338e-05	1.13388e-05	1.32282e-05	1.32338e-05	6.08588e-09	5.67473e-06	1.88972e-05	5.16395e-09	5.67146e-06	1.12521e-08	1.32298e-05	1.89047e-05	9.46903e-06	5.67386e-06	1.3228e-05	1.89026e-05	1.13436e-05	9.5402e-09	5.6713e-06	1.3223e-05	2.07906e-05	1.90798e-06	1.32563e-05	5.68192e-06	1.25767e-08	5.67858e-06	9.44406e-06	5.67568e-06	1.32277e-05	1.32334e-05	1.13372e-05	1.13422e-05	7.57527e-06	0.00133994
d2_11	0.0028872	2.08148e-05	5.66979e-06	1.90736e-06	2.05943e-09	1.90624e-06	2.7419e-05	5.6834e-06	8.64254e-09	5.67243e-06	1.32317e-05	7.57177e-06	5.68709e-06	1.32357e-05	1.89e-05	1.51322e-05	1.62397e-08	2.07867e-05	1.3229e-05	1.1352e-05	1.73221e-09	4.34773e-05	1.88935e-05	1.13391e-05	1.70268e-05	5.68134e-06	5.67394e-06	1.88954e-05	5.67129e-06	1.3253e-05	1.98521e-05	5.66786e-06	1.89019e-05	1.13457e-05	9.47538e-06	7.55813e-06	1.89053e-05	1.3239e-05	1.89051e-05	7.56433e-06	1.1348e-05	5.67727e-06	2.83703e-05	3.80327e-06	6.17971e-09	3.02232e-05	7.56399e-06	1.89057e-05	1.32265e-05	3.8005e-06	1.89136e-05	2.45705e-05	7.56988e-06	2.26925e-05	5.67447e-06	3.16654e-09	7.5588e-06	2.07771e-05	7.56194e-06	1.13348e-05	1.91209e-06	1.70124e-05	1.13516e-05	3.75877e-09	3.02166e-05	3.59054e-05	1.32291e-05	1.3235e-05	1.32381e-05	5.66265e-06	1.07251e-08	1.20868e-08	5.66349e-06	3.18851e-09	1.32315e-05	1.98504e-05	5.67924e-06	7.56914e-06	4.1622e-09	2.45756e-05	1.88933e-05	1.13431e-05	1.69941e-05	2.26602e-05	1.32283e-05	1.89848e-06	1.70005e-05	1.07072e-08	3.02343e-05	1.89754e-06	1.9006e-06	1.70084e-05	7.57819e-06	1.134e-05	0.00139183
d2_12	0.00230052	1.13416e-05	1.13413e-05	9.45275e-06	1.89092e-05	1.91307e-06	1.51332e-05	1.51256e-05	1.13506e-05	1.98524e-05	9.23885e-09	1.32337e-05	2.26688e-05	5.67681e-06	1.12886e-08	7.56966e-06	5.68321e-06	5.67891e-06	1.32412e-05	2.83537e-05	2.26986e-05	2.45599e-05	3.94576e-08	2.26724e-05	5.68926e-06	1.13523e-05	1.70169e-05	1.13396e-05	1.7032e-08	1.1349e-05	8.51465e-06	3.79843e-06	1.90996e-06	0	1.32423e-05	4.00404e-09	1.32318e-05	1.22992e-08	9.61494e-07	7.57368e-06	5.62601e-09	5.68484e-06	7.57389e-06	1.13385e-05	1.69994e-05	1.55996e-08	7.56134e-06	1.32478e-05	2.07907e-05	1.32259e-05	1.32243e-05	7.57206e-06	1.13525e-05	1.32402e-05	2.83245e-05	1.13472e-05	1.90083e-06	7.55848e-06	2.83434e-05	2.07912e-05	1.32464e-05	1.13388e-05	1.32198e-05	1.13442e-05	1.88994e-05	1.88952e-05	2.45748e-05	5.67773e-06	1.88983e-05	5.68277e-06	7.01307e-09	1.69967e-05	5.66683e-06	4.87114e-09	5.67779e-06	5.67405e-06	1.91063e-06	1.70359e-05	5.68121e-06	1.90319e-06	1.02922e-08	1.13515e-05	5.6772e-06	1.89036e-05	5.67736e-06	3.40164e-05	5.68413e-06	1.32218e-05	1.51285e-05	2.26787e-05	1.88964e-05	5.67545e-06	1.90875e-06	9.46431e-06	0.00134556
d2_13	0.00220273	1.32451e-05	5.67773e-06	9.1224e-09	1.13415e-05	1.13574e-05	7.56441e-06	1.41748e-05	1.1349e-05	5.67061e-06	2.26717e-05	1.5521e-08	2.83411e-05	2.22753e-10	1.51265e-05	1.32339e-05	5.68642e-06	5.67589e-06	1.13424e-05	5.67424e-06	1.9962e-09	1.135e-05	1.13559e-05	1.70179e-05	1.07584e-08	1.13416e-05	1.89627e-06	5.68503e-06	2.84001e-06	1.89008e-05	1.89011e-05	8.51433e-06	1.32551e-05	5.68398e-06	1.70125e-05	7.56474e-06	1.32368e-05	2.07869e-05	1.89161e-05	1.13375e-05	1.32273e-05	1.13528e-05	5.69504e-06	6.37356e-09	1.89938e-06	5.67465e-06	1.70074e-05	1.70136e-05	1.13336e-05	6.02548e-09	7.55857e-06	5.68038e-06	5.6699e-06	1.70198e-05	1.90275e-06	5.66745e-06	1.1421e-08	1.9085e-06	5.67462e-06	1.13512e-05	1.40379e-08	7.57438e-06	2.4559e-05	5.67024e-06	2.84998e-06	1.13509e-05	3.02227e-05	1.51237e-05	5.69096e-06	1.28182e-08	1.89167e-05	5.67692e-06	2.45779e-05	7.55576e-06	1.13562e-05	1.32577e-05	5.68364e-06	5.67687e-06	1.32241e-05	7.56564e-06	5.68513e-06	5.68482e-06	7.56033e-06	1.02295e-08	5.67818e-06	1.32257e-05	2.3111e-08	1.3233e-05	1.58633e-08	1.32375e-05	1.91428e-06	5.68593e-06	2.07891e-05	5.69343e-06	0.00136734
d2_14	0.00233618	1.32439e-05	5.67653e-06	1.32437e-05	1.51197e-05	1.51255e-05	1.89711e-06	1.32395e-05	5.68291e-06	7.57374e-06	5.67519e-06	5.67893e-06	1.13561e-05	1.13495e-05	5.69132e-06	1.13398e-05	5.676e-06	1.13511e-05	9.45635e-06	7.58824e-06	1.4959e-11	1.51425e-05	1.13319e-05	5.67613e-06	1.13469e-05	5.67386e-06	1.13425e-05	1.32879e-08	7.2369e-09	1.13584e-05	5.67079e-06	1.13511e-05	1.25016e-08	2.83388e-05	9.45577e-06	5.66775e-06	9.45868e-06	1.13534e-05	2.26922e-05	5.66996e-06	7.57476e-06	2.83483e-05	5.67442e-06	3.02389e-05	3.02221e-05	5.68543e-06	7.57081e-06	1.70095e-05	5.67446e-06	7.56572e-06	1.32161e-05	5.68691e-06	7.56344e-06	3.21096e-05	1.35395e-08	1.90094e-06	1.13648e-05	1.13319e-05	1.89059e-05	5.66812e-06	9.25675e-09	7.58933e-06	1.15646e-08	2.83571e-05	1.134e-05	5.69127e-06	5.67581e-06	5.67861e-06	1.13533e-05	1.8915e-05	1.37522e-08	1.32281e-05	7.56962e-06	1.70029e-05	5.67382e-06	1.7014e-05	9.46073e-06	1.32125e-05	3.33836e-09	1.32357e-05	6.52332e-09	3.21278e-05	5.6676e-06	5.68201e-06	2.45762e-05	1.32329e-05	1.70047e-05	1.13391e-05	1.89223e-06	7.55678e-06	1.76275e-08	1.13454e-05	7.56526e-06	1.16391e-08	0.00145986
d2_15	0.002232	1.3241e-05	5.669e-06	1.82323e-08	5.66888e-06	1.88035e-09	1.91047e-06	7.56901e-06	3.11821e-05	1.89058e-05	7.565e-06	3.69777e-09	1.22861e-05	5.6959e-06	1.13349e-05	1.89186e-05	1.9063e-06	9.45755e-06	3.78726e-06	1.13313e-05	1.13527e-05	5.67168e-06	1.13322e-05	5.66624e-06	1.51223e-05	5.67507e-06	7.09349e-09	5.67666e-06	1.89832e-06	1.69871e-05	1.70131e-05	1.70122e-05	7.57184e-06	8.98117e-09	1.13426e-05	2.08717e-10	1.89807e-06	1.13347e-05	1.88983e-05	1.32264e-05	5.67126e-06	1.01931e-08	3.16749e-09	1.93689e-08	1.62678e-08	2.17355e-05	1.13416e-05	1.70033e-05	1.91942e-06	1.51334e-05	1.32373e-05	1.45545e-08	1.60029e-08	1.32328e-05	7.56728e-06	1.32284e-05	5.67555e-06	5.68094e-06	5.67999e-06	1.32575e-05	1.13396e-05	5.68092e-06	9.0304e-09	1.70075e-05	2.90321e-08	2.26982e-05	1.89189e-05	1.53703e-08	2.26739e-05	5.67576e-06	1.13512e-05	1.34584e-08	1.32227e-05	1.6485e-08	5.67464e-06	5.67823e-06	1.70164e-05	5.68188e-06	1.7029e-05	3.79822e-06	1.70064e-05	5.66953e-06	5.68231e-06	5.68245e-06	1.13513e-05	1.13366e-05	1.90717e-06	5.67243e-06	1.32282e-05	1.32339e-05	1.70232e-05	7.57552e-06	1.13442e-05	8.45298e-09	0.00148728
d2_16	0.00197802	1.32357e-05	1.90984e-06	9.46999e-06	5.66557e-06	1.90445e-06	1.13531e-05	2.45613e-05	3.02292e-05	1.32315e-05	2.26719e-05	1.89678e-06	1.13558e-05	7.56701e-06	3.79176e-06	2.83599e-05	2.56453e-09	4.18312e-09	5.68938e-06	1.70152e-05	5.16702e-09	8.51668e-06	1.5236e-08	1.04797e-08	1.70085e-05	1.13402e-05	1.89116e-05	5.66278e-06	5.67461e-06	7.80448e-09	7.56831e-06	5.68746e-06	1.13469e-05	7.64454e-09	2.1727e-05	1.13421e-05	1.13419e-05	7.57077e-06	8.30295e-09	1.70053e-05	1.13553e-05	5.68175e-06	2.07913e-05	5.14464e-09	1.29659e-08	1.89228e-05	3.02409e-05	9.46751e-06	1.70244e-05	3.97544e-09	1.90894e-06	1.89103e-05	1.82058e-09	1.91566e-06	5.69134e-06	1.70082e-05	1.92266e-06	5.68609e-06	1.13524e-05	1.70211e-05	5.68552e-06	2.83463e-05	1.13423e-05	3.79279e-06	1.70163e-05	7.57978e-06	1.35484e-08	1.70108e-05	1.51222e-05	7.5659e-06	1.70272e-05	5.67843e-06	7.55794e-06	1.51373e-05	2.26695e-05	7.55934e-06	2.64625e-05	1.90966e-06	1.89077e-05	5.69517e-06	1.13487e-05	1.2854e-08	1.13515e-05	5.67191e-06	7.56429e-06	1.32308e-05	1.53441e-08	1.32445e-05	4.00243e-09	1.32336e-05	1.70111e-05	7.59301e-06	5.67659e-06	1.1337e-05	0.00148156
d2_17	0.00182794	1.90308e-06	1.51276e-05	9.80719e-09	1.13438e-05	5.68169e-06	1.32368e-05	0	2.45687e-05	1.49224e-08	2.06613e-08	7.45123e-09	7.57314e-06	7.56502e-06	5.69097e-06	1.90553e-06	7.5189e-10	1.88992e-05	1.13329e-05	7.5821e-06	5.68015e-06	4.91199e-05	3.45657e-09	8.51675e-06	5.6741e-06	5.67839e-06	1.13524e-05	9.45236e-06	5.6759e-06	5.67564e-06	7.56513e-06	1.90651e-06	1.13491e-05	1.90127e-06	5.67827e-06	1.13484e-05	1.13307e-05	5.66983e-06	1.13591e-05	6.90687e-10	1.60703e-05	2.07852e-05	1.70199e-05	5.68307e-06	2.07828e-05	1.88888e-08	5.67535e-06	2.8346e-05	5.67206e-06	1.13481e-05	1.16922e-08	1.32233e-05	5.67851e-06	2.26736e-05	5.68071e-06	1.70067e-05	1.13432e-05	2.07882e-05	1.50993e-08	2.83474e-05	7.56475e-06	1.13405e-05	3.02432e-05	9.45412e-06	5.67208e-06	1.1341e-05	1.13537e-05	1.41754e-05	5.66642e-06	5.67422e-06	5.66728e-06	7.56207e-06	1.13518e-05	5.68266e-06	9.46147e-06	1.3247e-05	0	1.89143e-05	7.57112e-06	5.68155e-06	1.90579e-06	5.67355e-06	5.68274e-06	5.68516e-06	5.68175e-06	2.2684e-05	7.56182e-06	3.79473e-06	1.13474e-05	1.90132e-06	1.32456e-05	5.67549e-06	2.26605e-05	1.3237e-05	0.00127388
