	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.119244	0.0591623	0.0389783	0.0283518	0.0215401	0.0174615	0.014029	0.01196	0.00991329	0.0086587	0.00723427	0.00614523	0.00522076	0.00456622	0.00401302	0.00331643	0.00267282	0.00247434	0.0023038	0.00189216	0.00166342	0.00131221	0.00121132	0.000948828	0.000834	0.000869607	0.000633742	0.000556071	0.000507591	0.000430925	0.000325229	0.000297818	0.000202045	0.000235138	0.000232639	0.000219918	0.000142595	0.000174165	0.000111923	7.69652e-05	0.000150394	9.53741e-05	4.20445e-05	7.8518e-05	3.65557e-05	2.31623e-05	3.12177e-05	1.87192e-05	1.66919e-05	9.40944e-05	3.79037e-05	2.46293e-05	3.89072e-05	1.8463e-05	1.4375e-05	3.46751e-05	7.99531e-08	1.22887e-05	1.84604e-05	1.83895e-05	1.43965e-05	6.14436e-06	1.02892e-05	6.28187e-06	6.27438e-09	1.22542e-05	3.38426e-08	1.22433e-05	2.10284e-06	8.14089e-06	3.00894e-10	1.21904e-05	2.97305e-08	4.73497e-10	1.54183e-09	1.05164e-09	2.23414e-08	6.10174e-06	1.79388e-10	1.04594e-10	3.13572e-09	6.60268e-11	1.69219e-11	0	8.24239e-11	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0682189	4.78375e-05	6.18943e-05	4.99765e-05	4.5717e-05	6.1901e-05	2.51047e-05	4.55695e-05	2.09662e-05	3.93911e-05	2.08886e-05	6.69943e-05	2.70424e-05	2.68271e-05	3.33012e-05	2.08863e-05	5.1524e-05	4.53464e-05	4.21595e-05	8.58107e-05	4.73882e-05	4.32404e-05	5.32805e-05	1.67061e-05	2.6883e-05	3.91476e-05	2.4728e-05	2.68031e-05	6.6541e-05	1.65776e-05	3.08445e-05	1.04989e-05	2.67176e-05	2.16137e-05	2.86891e-05	1.85391e-05	1.44586e-05	2.4603e-05	1.44808e-05	2.65059e-05	1.43353e-05	1.71785e-07	2.22621e-06	1.84606e-05	1.43493e-05	1.43081e-05	1.02435e-05	2.03912e-05	6.61354e-08	5.89733e-08	6.36334e-08	8.22928e-06	7.95865e-08	6.17276e-06	1.00302e-07	6.21997e-06	9.37932e-08	3.32259e-08	6.14598e-06	1.34601e-07	6.11604e-06	6.1003e-06	2.4369e-09	3.26967e-08	4.94179e-09	9.52568e-09	6.13337e-06	2.71023e-08	2.84702e-08	2.27214e-09	2.76259e-09	2.09993e-09	1.22318e-05	1.12904e-10	4.76703e-10	4.96847e-11	6.12997e-06	2.40309e-08	2.87502e-08	2.58344e-08	6.75209e-10	2.29476e-11	1.16528e-12	1.10763e-10	6.77494e-11	0	3.73047e-11	4.96051e-11	3.55345e-09	0	2.00555e-11	0	0	4.94149e-12	1.14504e-11	0	0	0	0
d3_2	0.0289863	7.2036e-05	5.90138e-05	5.67469e-05	7.81232e-05	4.96645e-05	3.72302e-05	4.96767e-05	3.95587e-05	2.71339e-05	6.78729e-05	4.34261e-05	6.40062e-05	3.7302e-05	3.31585e-05	3.10164e-05	3.91509e-05	2.70008e-05	5.75759e-05	6.15542e-05	2.68442e-05	2.68456e-05	5.14221e-05	3.91744e-05	1.26356e-05	6.86031e-05	2.48093e-05	5.1145e-05	3.28968e-05	3.08734e-05	3.49567e-05	3.69838e-05	3.4838e-05	2.87794e-05	2.65713e-05	1.85839e-05	2.68569e-05	2.86638e-05	2.45666e-05	2.45757e-05	2.25563e-05	1.43934e-05	1.23055e-05	2.87238e-05	6.20823e-06	1.03801e-05	6.19866e-06	4.90679e-08	6.22719e-06	6.15045e-06	6.18654e-06	6.22088e-06	1.03129e-05	6.24024e-06	3.35787e-08	1.11207e-08	6.20131e-06	3.76337e-08	6.15591e-06	6.24666e-08	6.19287e-06	1.42678e-05	2.64154e-09	4.07875e-09	5.78879e-08	3.09982e-08	2.78521e-08	3.45918e-08	6.10439e-06	3.71593e-09	3.57646e-09	2.54509e-10	6.80112e-09	2.7905e-09	8.15761e-06	1.44198e-09	1.82984e-09	4.5107e-11	1.3524e-09	3.71162e-11	0	6.51349e-11	1.78256e-10	0	2.94796e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.0164388	1.30771e-05	1.91441e-05	4.33475e-05	7.00479e-05	8.42392e-05	6.39044e-05	3.92849e-05	5.98284e-05	4.94859e-05	4.94373e-05	4.15011e-05	6.37436e-05	8.91088e-05	4.64988e-05	5.13502e-05	5.33156e-05	2.30372e-05	3.30006e-05	2.07316e-05	2.48373e-05	4.12163e-05	3.50625e-05	1.46474e-05	1.05223e-05	4.53402e-05	3.1863e-05	3.48811e-05	3.91676e-05	2.88745e-05	1.24625e-05	1.46587e-05	3.27848e-05	1.8605e-05	4.09282e-05	3.08713e-05	1.24028e-05	1.22558e-05	1.44569e-05	1.45032e-05	4.29863e-05	1.65118e-05	3.18591e-05	1.4344e-05	8.29099e-06	1.2334e-05	1.4514e-07	1.12884e-05	1.12075e-06	1.4352e-05	1.4362e-05	1.77382e-08	2.04721e-05	6.16428e-06	6.16926e-06	8.22561e-06	6.11246e-06	6.13846e-06	7.7918e-08	6.17048e-06	8.9568e-09	3.24515e-08	1.22531e-05	6.13969e-06	1.42478e-05	6.1083e-06	5.96176e-09	3.16958e-09	5.38399e-09	8.15971e-06	3.34258e-09	3.97293e-09	1.3852e-09	7.202e-09	6.10757e-06	8.79728e-10	1.3635e-10	8.16082e-06	2.7556e-08	8.38502e-11	2.7364e-08	1.2814e-09	4.91794e-10	3.99572e-09	2.91117e-11	3.72511e-11	0	1.63469e-09	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.0104519	7.00666e-05	2.93284e-05	2.52558e-05	3.32703e-05	5.36812e-05	5.35803e-05	4.84529e-05	4.64766e-05	6.7933e-05	3.53508e-05	4.33051e-05	4.32754e-05	2.48302e-05	4.01966e-05	3.51418e-05	3.51094e-05	1.89347e-05	3.70345e-05	4.94231e-05	3.49864e-05	5.53983e-05	4.52657e-05	1.66155e-05	4.72223e-05	4.20238e-05	4.31109e-05	3.90618e-05	2.06522e-05	2.06914e-05	2.97179e-05	1.44964e-05	2.37091e-05	1.23314e-05	3.90443e-05	3.18759e-05	2.15999e-05	1.44936e-05	2.21063e-06	1.4371e-05	1.23912e-05	2.87228e-05	3.178e-05	6.20291e-06	7.26362e-06	2.04998e-05	2.04258e-05	1.59688e-07	1.43599e-05	2.1377e-06	2.14878e-06	8.24017e-06	6.03268e-08	1.43079e-05	6.11358e-06	6.22402e-06	5.63545e-09	6.27253e-06	6.17312e-06	8.16313e-06	8.1705e-06	6.13037e-06	1.23405e-05	8.18415e-06	1.43053e-05	6.13536e-06	2.04397e-06	2.42493e-08	6.15924e-06	2.70386e-08	4.99594e-08	5.17526e-09	4.85532e-09	6.09987e-06	3.08179e-09	8.40414e-11	3.14442e-08	8.15709e-06	2.56732e-08	6.09606e-06	4.00914e-09	3.79493e-09	2.41066e-11	1.43355e-10	1.9956e-09	2.82927e-09	0	7.60322e-10	0	0	2.42957e-09	0	0	0	0	0	0	0	0
d3_5	0.00713872	4.04587e-05	3.72796e-05	5.67242e-05	3.51279e-05	5.96959e-05	3.94114e-05	3.52174e-05	3.94177e-05	4.13698e-05	4.14021e-05	3.93296e-05	1.7114e-05	6.56011e-05	5.34883e-05	8.7143e-06	3.82155e-05	2.89743e-05	3.9092e-05	5.33924e-05	3.51161e-05	2.69977e-05	2.67742e-05	5.32781e-05	7.3776e-05	2.08577e-05	2.06723e-05	2.08181e-05	2.48246e-05	2.07918e-05	3.89507e-05	1.86125e-05	3.9069e-05	2.6792e-05	3.28714e-05	3.6982e-05	1.45519e-05	1.24136e-05	2.45584e-05	2.46132e-05	4.34912e-06	8.36198e-06	1.78671e-07	6.37959e-06	2.0525e-05	2.06227e-05	1.85646e-05	9.95745e-08	8.27179e-06	1.4445e-05	2.04125e-05	1.2303e-05	8.1703e-06	2.13819e-06	6.23575e-06	8.6187e-08	6.11464e-06	6.17711e-06	1.43183e-05	6.17435e-06	3.97878e-08	3.57755e-08	3.49399e-08	7.90942e-09	8.19564e-06	5.8141e-08	6.12494e-08	6.15982e-06	6.13164e-06	4.22656e-09	5.09102e-09	6.3292e-08	2.07544e-09	1.31395e-09	4.80598e-09	6.13902e-06	7.24223e-10	5.41729e-09	8.70862e-10	6.12893e-06	1.45794e-10	0	2.31579e-09	4.60059e-11	2.34056e-08	3.84069e-11	2.80847e-08	0	1.2895e-11	0	0	0	1.00601e-10	0	8.63227e-10	0	6.12608e-06	0	0
d3_6	0.00499261	3.92997e-05	5.98418e-05	6.38862e-05	4.32625e-05	1.69249e-05	3.74254e-05	5.76827e-05	4.14002e-05	2.70087e-05	3.92509e-05	3.40964e-05	5.74657e-05	3.537e-05	5.76339e-05	3.42172e-05	5.75533e-05	2.69362e-05	3.71716e-05	3.32929e-05	1.26817e-05	5.13465e-05	4.22563e-05	4.91399e-05	1.47849e-05	1.86975e-05	4.92482e-05	3.30079e-05	3.29451e-05	4.31053e-05	1.86672e-05	2.48427e-05	1.85065e-05	1.44668e-05	6.4366e-06	2.67593e-05	3.69314e-05	2.87932e-05	1.04038e-05	1.25397e-05	2.26553e-05	2.05512e-05	3.67582e-05	2.66848e-05	1.64e-05	2.46122e-05	7.96496e-08	1.85477e-05	2.24232e-05	1.23721e-05	6.36843e-06	6.27093e-06	1.2354e-05	1.23278e-05	1.4122e-07	1.26965e-07	2.04525e-05	1.23035e-05	6.18741e-06	2.09921e-06	1.22991e-05	6.17231e-06	8.19545e-06	3.82611e-08	6.17018e-06	5.23759e-08	6.36146e-08	2.91057e-08	4.05551e-08	6.13542e-06	2.36892e-08	1.22672e-08	6.66267e-09	6.13261e-06	1.02024e-05	8.78102e-09	1.42884e-05	2.84199e-08	6.10522e-06	2.35822e-09	5.75921e-09	7.88733e-11	2.91052e-10	6.92933e-11	3.06181e-08	9.54192e-11	1.08415e-10	2.39897e-08	6.10151e-06	3.97617e-12	0	1.40069e-09	0	0	1.09317e-12	0	0	0	0
d3_7	0.00361122	4.43726e-05	4.14086e-05	5.771e-05	5.14524e-05	3.12965e-05	4.53297e-05	4.45518e-05	7.38617e-05	2.09966e-05	5.34005e-05	1.2711e-05	2.07918e-05	3.91276e-05	3.31113e-05	7.91428e-05	2.69912e-05	2.50286e-05	3.52567e-05	4.7324e-05	2.27699e-05	4.10664e-05	3.90774e-05	3.81269e-05	3.70111e-05	3.29493e-05	2.97503e-05	5.96088e-05	1.45761e-05	4.3174e-05	6.14516e-05	2.8959e-05	4.50048e-05	3.1036e-05	2.07208e-05	2.26153e-05	2.56599e-05	5.12186e-05	1.23875e-05	4.92009e-05	1.44677e-05	2.47324e-05	3.88988e-05	1.85368e-05	3.69915e-05	1.85448e-05	2.45055e-05	1.55386e-05	6.22453e-06	2.65695e-05	1.64131e-05	4.48901e-05	1.84346e-05	1.24077e-05	1.43529e-05	6.14964e-06	1.43121e-05	6.15381e-06	5.30786e-08	1.27983e-07	6.1502e-06	6.17763e-06	6.2057e-06	6.13927e-06	6.1852e-06	5.97187e-08	2.07175e-06	6.18228e-06	2.75113e-08	5.20217e-08	1.24466e-09	6.10591e-06	1.2274e-05	2.51123e-08	6.15561e-06	3.46511e-08	5.66847e-09	5.09714e-08	4.82032e-09	4.98608e-09	1.19187e-10	3.95489e-09	3.65611e-10	6.09556e-06	2.0676e-06	9.6932e-10	1.39178e-09	0	0	6.58418e-11	0	3.71604e-11	0	2.02717e-09	0	0	7.60408e-11	0	0
d3_8	0.0026634	5.76976e-05	1.89948e-05	4.96148e-05	4.77882e-05	2.70869e-05	3.50218e-05	4.14603e-05	4.93889e-05	1.87956e-05	1.28058e-05	3.51927e-05	3.51442e-05	2.90348e-05	2.59708e-05	7.19484e-05	1.27496e-05	4.42855e-06	4.12735e-05	3.11671e-05	4.11921e-05	4.6229e-05	5.14548e-05	1.46457e-05	5.33707e-05	2.6909e-05	2.27696e-05	3.69396e-05	2.98178e-05	6.36946e-06	3.70063e-05	3.3941e-05	4.09574e-05	7.77719e-05	1.4553e-05	6.30068e-06	1.77581e-05	6.44413e-06	6.75133e-05	8.40333e-06	2.06659e-05	2.0494e-05	8.41317e-06	3.88464e-05	1.04359e-05	1.23664e-05	2.4631e-05	1.84628e-07	1.8544e-05	1.23985e-05	6.30863e-06	1.13381e-05	1.23061e-05	8.26899e-06	2.24611e-06	1.2315e-05	4.90115e-05	6.13977e-06	8.16935e-06	1.33206e-07	8.20054e-06	8.25664e-06	6.0852e-08	6.14316e-06	6.71539e-08	6.10537e-06	4.76414e-08	1.72929e-09	1.85137e-08	4.24574e-08	6.57047e-09	3.02852e-08	6.13425e-06	3.35474e-09	8.74475e-09	7.98911e-08	7.9076e-10	2.17748e-08	6.12952e-06	6.1012e-06	1.74694e-09	5.77584e-09	2.95229e-08	8.48746e-09	2.65849e-08	6.16207e-08	2.96916e-10	0	3.49254e-11	0	6.10192e-06	2.15487e-09	8.69004e-10	9.17308e-06	0	0	0	0	0
d3_9	0.00197059	2.10399e-05	4.54778e-05	3.92438e-05	5.55322e-05	1.89056e-05	3.92277e-05	5.16092e-05	3.52533e-05	3.40602e-05	3.41161e-05	5.54401e-05	7.19761e-05	5.14918e-05	2.80518e-05	6.98141e-05	5.33725e-05	5.34423e-05	1.68002e-05	1.8835e-05	5.55139e-05	5.0439e-05	7.58504e-05	1.87301e-05	5.94263e-05	6.35023e-05	1.24702e-05	5.34137e-05	6.44337e-06	4.22352e-05	4.3121e-05	1.88075e-05	4.00447e-05	3.28362e-05	1.449e-05	2.67901e-05	3.38296e-05	2.46881e-05	2.47784e-05	2.8698e-05	1.44795e-05	3.67727e-05	8.3872e-06	2.04959e-05	3.47572e-05	4.34965e-06	1.44868e-05	2.65143e-05	1.84566e-05	6.28443e-06	5.70073e-08	1.02494e-05	2.86557e-05	6.26181e-06	6.34456e-06	7.22002e-08	2.04496e-05	2.25428e-05	6.20482e-06	1.84607e-05	3.19551e-06	8.28989e-06	1.22937e-05	2.148e-06	2.07139e-06	1.22842e-05	8.25344e-06	2.10733e-06	6.17904e-06	1.16173e-08	3.98355e-08	3.17505e-08	9.92045e-08	1.43255e-05	6.12538e-06	6.10892e-06	3.16351e-08	2.68456e-08	4.27879e-09	5.39107e-08	2.03691e-06	6.13143e-06	6.15772e-06	1.8923e-11	6.10614e-06	3.95945e-09	2.06357e-06	2.06638e-06	8.81641e-11	6.28383e-10	6.12608e-06	1.11332e-09	8.19674e-11	1.94601e-09	8.15941e-06	0	0	0	0
d3_10	0.00153903	4.52417e-05	2.28095e-05	3.31687e-05	1.2712e-05	1.47295e-05	4.64645e-05	5.55983e-05	4.64649e-05	4.13542e-05	3.71698e-05	3.52397e-05	2.0956e-05	2.70247e-05	4.84121e-05	4.93988e-07	5.33491e-05	5.13781e-05	2.69852e-05	3.81724e-05	3.29945e-05	3.92254e-05	4.51547e-05	3.91934e-05	6.57352e-05	6.14956e-05	3.91431e-05	1.25298e-05	6.47892e-06	3.91608e-05	3.29549e-05	1.67764e-05	4.10098e-05	2.49233e-05	3.09243e-05	5.94041e-05	4.31361e-05	3.29259e-05	2.06729e-05	1.24613e-05	8.3419e-06	4.5137e-05	1.64975e-05	1.24005e-05	4.69865e-05	1.24323e-05	3.58696e-05	1.85926e-05	2.65219e-05	5.52573e-08	1.44393e-05	1.8448e-05	6.25833e-06	2.45779e-05	4.08826e-05	2.04883e-05	1.84209e-05	3.06581e-05	1.44038e-05	2.86336e-05	1.2982e-07	2.11816e-06	1.43711e-05	6.14982e-06	6.13717e-06	6.14084e-06	1.22824e-05	1.23067e-05	6.14196e-06	3.78326e-08	2.94274e-08	8.18895e-06	3.57624e-08	6.11976e-09	6.60153e-09	6.12863e-06	9.48941e-09	3.60496e-08	6.06939e-09	4.94606e-09	2.23251e-09	2.7306e-08	6.15572e-06	3.04823e-09	8.94929e-11	2.95649e-08	1.11066e-09	1.05192e-10	2.77481e-10	4.09082e-09	0	8.99232e-11	6.12565e-06	0	8.71008e-11	8.20945e-13	8.59154e-10	0	0
d3_11	0.00120348	3.29526e-05	3.31679e-05	2.69376e-05	1.28201e-05	1.33455e-05	4.63875e-05	4.13697e-05	6.16307e-05	1.47568e-05	2.28722e-05	3.40191e-05	2.48679e-05	4.10937e-05	2.09871e-05	2.70009e-05	1.50292e-05	5.44871e-05	3.9089e-05	3.62007e-05	6.48258e-05	7.99064e-05	4.53585e-05	4.71683e-05	3.30557e-05	2.49007e-05	2.06294e-05	3.28367e-05	1.05552e-05	3.19162e-05	8.44013e-06	2.06912e-05	2.6777e-05	2.89254e-05	2.06162e-05	5.43836e-05	3.10072e-05	2.26589e-05	3.29303e-05	3.90039e-05	2.06087e-05	3.28989e-05	2.27453e-05	3.68308e-05	6.33621e-06	3.27043e-05	1.85146e-05	2.46274e-05	1.24336e-05	2.36859e-05	2.65739e-05	3.69345e-05	6.26786e-06	1.23179e-05	8.25225e-06	2.35747e-05	2.15434e-06	2.04416e-05	1.43923e-05	3.06858e-05	2.2413e-06	1.2415e-05	2.03975e-05	2.18907e-06	8.21125e-06	1.09276e-07	6.26207e-06	6.40201e-08	1.23748e-05	1.23413e-05	3.14141e-08	4.35022e-09	8.58312e-09	6.17547e-06	9.21133e-06	1.63073e-05	3.26102e-08	8.16233e-06	6.1362e-06	6.1606e-06	2.92014e-08	6.54772e-09	2.98531e-08	2.52818e-09	8.22729e-08	5.26217e-11	5.41391e-10	3.26659e-08	1.00192e-10	1.0005e-09	1.54231e-09	1.02394e-09	1.11056e-10	2.90876e-08	2.74886e-11	6.12617e-06	0	5.17913e-11	0
d3_12	0.000902093	1.66211e-05	3.40776e-05	1.46522e-05	3.08643e-05	2.07722e-05	4.21616e-05	1.46051e-05	2.69703e-05	5.64367e-05	3.93157e-05	4.13543e-05	4.31874e-05	2.08132e-05	9.62129e-06	3.70324e-05	4.1317e-05	4.21482e-05	2.90924e-05	1.45897e-05	2.70075e-05	4.23402e-05	2.68843e-05	4.94362e-05	3.30153e-05	5.75693e-05	6.56752e-06	2.88541e-05	5.75064e-05	2.89982e-05	4.92042e-05	3.29328e-05	3.90153e-05	3.90026e-05	1.87584e-05	3.71005e-05	3.09223e-05	8.45584e-06	4.60232e-05	1.96638e-05	6.39868e-06	1.45635e-05	3.28584e-05	2.05444e-05	2.47264e-05	1.46441e-05	3.69057e-05	4.91698e-05	1.64613e-05	2.47177e-05	3.4776e-05	2.45698e-05	3.2855e-05	3.06495e-05	2.46504e-05	8.24073e-06	3.06469e-05	2.76908e-05	1.83502e-05	1.4442e-05	3.06691e-05	1.2277e-05	1.84752e-05	6.21785e-06	1.2299e-05	6.2236e-06	1.42998e-05	1.23522e-05	6.16342e-06	6.62405e-08	1.22e-05	6.11815e-08	1.43479e-05	4.91558e-08	6.20226e-06	1.22851e-05	6.1619e-06	5.93173e-08	1.11335e-08	2.41639e-08	2.41185e-09	4.09409e-09	3.5299e-08	2.23973e-09	3.80263e-08	6.1327e-06	6.18117e-06	2.61191e-09	6.1036e-06	2.98425e-08	2.47881e-08	2.57896e-08	0	1.27425e-11	2.19832e-09	4.88573e-11	0	0	1.4208e-11
d3_13	0.000708387	4.32223e-05	2.4834e-05	1.86726e-05	1.25366e-05	6.45786e-06	2.09199e-05	3.10951e-05	3.70752e-05	2.90116e-05	2.07684e-05	4.52131e-05	3.09783e-05	4.23347e-05	2.28598e-05	1.67544e-05	3.91298e-05	1.2477e-05	5.12511e-05	4.53652e-05	4.31585e-05	8.46524e-06	3.90731e-05	5.54684e-05	4.73048e-05	3.29228e-05	5.33442e-05	3.07822e-05	3.50581e-05	2.89291e-05	2.07494e-05	5.74572e-05	2.07241e-05	3.51171e-05	2.68073e-05	2.8824e-05	3.68935e-05	6.50096e-06	8.42036e-06	3.2887e-05	2.47843e-05	4.72058e-05	3.09061e-05	1.86612e-05	1.85801e-05	1.44575e-05	2.66635e-05	2.06407e-05	2.25536e-05	1.85052e-05	3.67421e-05	4.25546e-06	2.04771e-05	8.2968e-06	1.24122e-05	2.44991e-05	2.45998e-05	2.25127e-05	8.36453e-06	1.234e-05	1.14995e-07	9.23292e-06	7.00119e-08	2.04463e-05	6.15701e-06	1.43465e-05	1.23084e-05	6.1394e-06	8.2115e-06	6.16705e-06	8.24343e-06	6.20181e-06	6.10139e-06	6.90093e-08	1.05895e-08	1.43212e-05	1.38713e-08	6.23092e-08	3.25209e-08	6.10353e-06	1.23958e-08	4.99727e-08	4.38082e-09	2.34957e-09	2.61671e-09	6.10537e-06	6.13019e-06	6.81635e-11	9.35592e-10	5.36459e-08	6.23658e-12	6.16639e-09	0	0	5.49696e-09	0	0	6.09437e-06	6.82919e-13
d3_14	0.000553806	5.13196e-05	3.91726e-05	2.88948e-05	6.47322e-06	3.90604e-05	2.88961e-05	5.95585e-05	3.1031e-05	2.49041e-05	3.30218e-05	4.13395e-05	2.09354e-05	3.50744e-05	2.28894e-05	2.89081e-05	2.8926e-05	2.47426e-05	2.71308e-05	2.91533e-05	4.11383e-05	4.92677e-05	2.38095e-05	8.49972e-06	7.17261e-05	2.0966e-05	3.29669e-05	4.95211e-05	8.51485e-06	1.68281e-05	2.07322e-05	3.29407e-05	2.47439e-05	4.30872e-05	2.46684e-05	3.06999e-05	2.67978e-05	2.68701e-05	6.3654e-05	2.89011e-05	5.72641e-05	1.85648e-05	2.67083e-05	2.26479e-05	3.59652e-05	1.04204e-05	3.69263e-05	1.85695e-05	1.96463e-05	2.072e-05	2.45863e-05	2.67234e-05	2.86389e-05	1.15126e-07	4.09508e-05	1.86241e-05	1.84496e-05	1.38773e-07	2.46317e-05	1.84908e-05	2.05008e-05	2.04435e-05	1.8472e-05	6.28459e-06	8.2599e-06	1.80707e-07	8.27609e-06	6.20627e-06	6.23731e-06	8.20102e-06	1.43477e-05	8.41723e-08	8.17662e-06	1.2367e-05	4.95955e-09	5.06274e-08	6.11279e-06	2.03676e-09	6.13913e-06	2.51298e-09	3.15491e-08	3.94479e-09	6.44995e-09	2.68828e-08	1.22535e-05	2.09275e-06	3.48603e-09	2.49634e-08	3.12329e-08	9.74327e-08	2.34949e-09	2.71596e-08	3.04903e-09	0	2.45296e-08	2.15189e-09	3.40819e-11	2.01816e-09	0
d3_15	0.000447038	1.86038e-05	4.01255e-05	1.77717e-05	3.09503e-05	4.82175e-05	2.47151e-05	4.52139e-05	2.08324e-05	2.37986e-05	2.70051e-05	4.33982e-05	6.52193e-06	2.69903e-05	1.88209e-05	2.69756e-05	1.25115e-05	1.45606e-05	4.3368e-05	2.08527e-05	1.26568e-05	2.06778e-05	5.54128e-05	4.12016e-05	4.6084e-05	4.12903e-05	3.51245e-05	8.48979e-06	3.19929e-05	3.48577e-05	4.10357e-05	7.38632e-05	3.69987e-05	2.47713e-05	3.30109e-05	5.11378e-05	3.89912e-05	3.69258e-05	4.11357e-05	6.42382e-06	3.70201e-05	1.25115e-05	2.16084e-05	4.90798e-05	4.49617e-05	1.85347e-05	1.23393e-05	3.69233e-05	1.44421e-05	1.87354e-05	2.67873e-05	2.20487e-06	1.44082e-05	2.06755e-05	9.33812e-06	8.33482e-06	1.44209e-05	6.21978e-06	1.84291e-05	1.44886e-05	1.23703e-05	8.34958e-06	6.29304e-06	1.43035e-05	1.23713e-05	1.83871e-05	8.20585e-06	4.08302e-05	3.66918e-05	6.27802e-06	2.4057e-08	1.2317e-05	6.11429e-06	1.23231e-05	5.21149e-08	4.20031e-06	3.26568e-08	1.22994e-05	1.22473e-05	4.58426e-08	8.18814e-06	4.7088e-10	6.76802e-08	1.2229e-05	2.66032e-09	2.84164e-08	6.12731e-06	2.75626e-08	8.09221e-09	5.82137e-10	2.89453e-08	1.93948e-09	9.59917e-11	3.4802e-09	1.31656e-09	5.90972e-10	0	0	8.40753e-10
d3_16	0.000317357	3.07786e-05	2.27322e-05	3.10616e-05	2.28509e-05	2.06558e-05	1.86452e-05	2.27698e-05	2.7874e-05	1.86578e-05	3.21205e-05	2.49049e-05	4.5402e-05	4.51247e-05	2.90091e-05	3.9174e-05	2.68659e-05	3.80581e-05	4.3137e-05	2.68797e-05	2.07488e-05	3.72157e-05	2.28125e-05	3.50278e-05	4.32497e-05	5.64916e-05	3.71099e-05	4.13801e-05	3.08576e-05	3.70877e-05	2.6906e-05	1.86043e-05	3.10412e-05	3.39353e-05	4.30252e-05	5.23978e-05	2.88978e-05	2.66685e-05	5.11785e-05	5.1304e-05	1.85851e-05	2.89769e-05	4.30251e-05	2.89244e-05	3.48575e-05	1.23331e-05	6.36959e-06	6.28399e-06	1.45065e-05	3.69035e-05	6.32019e-06	2.26025e-05	1.46225e-05	1.24381e-05	1.23845e-05	1.23169e-05	1.23306e-05	1.23865e-05	3.48292e-05	2.25483e-05	1.85415e-05	8.20912e-06	1.43883e-05	3.69041e-05	1.8392e-05	1.44518e-05	2.87219e-05	1.83665e-05	6.15064e-06	1.84126e-05	9.59974e-08	1.43028e-05	3.25842e-05	6.26806e-08	5.18554e-08	6.83302e-08	8.67998e-08	7.63319e-08	8.16231e-06	2.52758e-08	1.22818e-05	6.10173e-06	6.20905e-06	4.77582e-08	6.14964e-06	3.3379e-08	7.99299e-08	4.15446e-09	2.75338e-08	6.12639e-06	3.04352e-09	1.13162e-09	6.1046e-06	5.42931e-10	6.12657e-06	2.8477e-08	6.09615e-06	1.98668e-09	3.76123e-09
